Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  116.92  117.91  116.2  117.02  3272200  117.02
2014-02-27  116.13  116.63  115.65  116.61  2147100  116.61
2014-02-26  115.89  116.79  115.61  116.11  2951600  116.11
2014-02-25  116.05  116.67  115.56  115.89  2569500  115.89
2014-02-24  115.77  117.58  115.3  116.49  3331500  116.49
2014-02-21  115.29  116.08  114.72  115.38  3660000  115.38
2014-02-20  114.36  115.4  113.47  115.05  3096800  115.05
2014-02-19  113.44  115.28  113.41  114.04  4196200  114.04
2014-02-18  114.0  114.11  112.96  113.74  2392800  113.74
2014-02-14  113.26  114.14  112.37  113.87  3466600  113.87
2014-02-13  112.18  113.58  111.69  113.3  2520900  113.3
2014-02-12  112.53  112.86  111.97  112.78  3006300  112.78
2014-02-11  111.17  112.61  110.81  112.37  3364000  112.37
2014-02-10  110.02  111.1  109.76  111.02  4094000  111.02
2014-02-07  109.45  110.59  109.41  110.15  3982500  110.15
2014-02-06  107.54  108.93  107.54  108.88  3717700  108.88
2014-02-05  107.74  108.32  106.44  107.35  6864500  107.35
2014-02-04  107.8  109.45  106.94  108.53  9759600  108.53
2014-02-03  113.51  114.14  109.53  109.58  5262200  109.58
2014-01-31  112.39  114.33  111.78  113.42  3482000  113.42
2014-01-30  113.38  114.67  113.06  114.08  3210800  114.08
2014-01-29  112.47  113.46  111.84  112.68  3881200  112.68
2014-01-28  113.0  113.34  112.4  113.27  3662100  113.27
2014-01-27  111.3  114.21  110.99  113.2  7665000  113.2
2014-01-24  113.43  113.76  111.19  111.22  5119800  111.22
2014-01-23  114.48  115.31  113.89  114.24  4086400  114.24
2014-01-22  116.87  117.58  114.84  115.51  5042800  115.51
2014-01-21  114.24  115.37  113.86  114.39  4737200  114.39
2014-01-17  113.09  113.87  113.05  113.61  4284300  113.61
2014-01-16  113.28  113.79  112.99  113.62  2653100  113.62
2014-01-15  111.98  113.68  111.96  113.47  2271800  113.47
2014-01-14  112.08  112.82  111.53  112.04  3430500  112.04
2014-01-13  112.67  113.75  112.03  112.21  3259500  112.21
