Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  67.88  68.59  67.28  67.93  811300  67.93
2014-02-27  66.95  68.45  66.95  67.93  802500  67.93
2014-02-26  65.78  68.11  65.52  66.96  1209100  66.96
2014-02-25  65.01  65.99  64.57  65.55  563800  65.55
2014-02-24  65.89  66.48  65.0  65.03  592600  65.03
2014-02-21  65.41  66.19  65.41  65.73  706900  65.73
2014-02-20  64.93  65.46  64.23  65.3  662700  65.3
2014-02-19  65.98  67.1  64.63  64.87  957300  64.87
2014-02-18  66.48  67.33  65.92  66.39  869900  66.39
2014-02-14  66.0  66.75  65.42  66.28  743500  66.28
2014-02-13  64.94  66.15  64.36  65.95  1055300  65.95
2014-02-12  65.9  66.2  65.02  65.33  719400  65.33
2014-02-11  65.06  66.04  64.5  65.49  1238300  65.49
2014-02-10  65.41  66.33  64.66  65.13  1145900  65.13
2014-02-07  65.95  66.3  63.79  64.71  2058800  64.71
2014-02-06  61.53  67.92  61.53  65.61  4067700  65.61
2014-02-05  59.83  61.34  59.4  60.14  1774900  60.14
2014-02-04  59.05  60.37  58.88  59.83  1149600  59.83
2014-02-03  61.63  62.26  58.63  59.0  1302300  59.0
2014-01-31  60.35  62.68  60.19  61.68  866200  61.68
2014-01-30  62.6  62.76  61.27  61.63  1080100  61.63
2014-01-29  60.62  62.86  60.37  62.21  1283800  62.21
2014-01-28  59.22  63.0  59.15  61.53  2675000  61.53
2014-01-27  60.1  60.1  57.82  58.0  1467800  58.0
2014-01-24  60.84  61.29  58.75  59.52  1886700  59.52
2014-01-23  60.73  62.35  60.07  61.26  1835700  61.26
2014-01-22  60.05  60.12  59.44  59.55  459100  59.55
2014-01-21  59.91  60.1  59.29  59.93  1088400  59.93
2014-01-17  59.88  59.93  59.25  59.6  841500  59.6
2014-01-16  59.55  60.22  59.27  59.86  1272500  59.86
2014-01-15  59.13  59.63  58.76  59.63  2008500  59.63
2014-01-14  58.91  59.27  58.63  59.16  1538700  59.16
2014-01-13  59.14  59.92  58.33  58.61  902000  58.61
2014-01-10  59.95  60.01  59.05  59.37  1119600  59.37
2014-01-09  59.51  59.88  58.75  59.77  716300  59.77
2014-01-08  58.66  59.54  58.54  59.3  702000  59.3
2014-01-07  58.22  58.99  58.2  58.79  901200  58.79
2014-01-06  58.72  58.76  57.51  58.02  615500  58.02
2014-01-03  58.69  59.6  58.5  58.54  436800  58.54
2014-01-02  59.29  59.36  58.46  58.63  497000  58.63
2013-12-31  59.35  59.65  58.8  59.37  513500  59.37
2013-12-30  58.49  59.45  58.47  59.44  940900  59.44
2013-12-27  58.6  58.6  58.02  58.59  360100  58.59
2013-12-26  58.4  58.47  57.81  58.23  441900  58.23
2013-12-24  57.62  58.32  57.41  57.95  322500  57.95
2013-12-23  57.62  58.02  57.38  57.65  549400  57.65
2013-12-20  57.66  57.95  57.26  57.3  1114400  57.3
2013-12-19  57.45  57.55  56.55  57.12  447900  57.12
2013-12-18  56.42  58.03  56.11  57.7  698500  57.7
2013-12-17  56.38  56.63  55.95  56.45  496100  56.45
2013-12-16  56.32  56.94  56.1  56.67  743000  56.67
2013-12-13  56.71  56.71  55.26  56.09  864600  56.09
2013-12-12  53.83  54.51  53.61  54.37  533700  54.37
2013-12-11  54.93  54.96  53.65  53.86  662200  53.86
2013-12-10  55.43  56.05  54.86  54.92  484300  54.92
2013-12-09  55.94  56.52  55.22  55.57  591900  55.57
2013-12-06  55.08  56.83  55.08  55.88  808900  55.88
2013-12-05  54.2  54.75  53.9  54.58  588600  54.58
2013-12-04  54.88  55.37  53.51  54.41  707500  54.41
2013-12-03  56.17  56.53  54.69  55.47  426600  55.47
2013-12-02  56.52  56.88  55.73  56.52  500200  56.52
2013-11-29  57.06  57.06  56.24  56.33  341100  56.33
2013-11-27  57.4  57.75  56.9  57.07  340800  57.07
2013-11-26  57.19  57.76  57.06  57.28  494500  57.28
2013-11-25  56.63  57.83  56.56  57.39  824900  57.39
2013-11-22  56.46  57.26  56.28  56.75  896200  56.75
2013-11-21  55.64  56.71  55.64  56.31  999500  56.31
2013-11-20  55.53  55.89  55.15  55.68  644000  55.68
2013-11-19  55.35  56.44  55.22  55.64  612000  55.64
2013-11-18  56.96  57.37  55.05  55.29  639100  55.29
2013-11-15  55.88  56.79  55.8  56.75  639200  56.75
2013-11-14  56.21  56.38  55.4  55.91  534700  55.91
2013-11-13  55.26  56.28  55.18  56.01  620700  56.01
2013-11-12  56.05  56.23  55.39  55.79  582000  55.79
2013-11-11  56.44  56.64  55.76  56.23  364800  56.23
2013-11-08  55.21  56.58  54.55  56.55  672600  56.55
2013-11-07  56.58  57.29  55.13  55.3  750300  55.3
2013-11-06  56.6  56.65  55.82  56.13  699900  56.13
2013-11-05  57.75  58.39  55.98  56.39  1541000  56.39
2013-11-04  54.3  60.09  54.02  57.73  3650300  57.73
2013-11-01  53.65  54.82  52.71  53.62  1040300  53.62
2013-10-31  53.81  54.04  53.12  53.5  402800  53.5
2013-10-30  54.38  54.64  53.13  53.94  337000  53.94
2013-10-29  54.9  54.95  54.1  54.41  349800  54.41
2013-10-28  54.59  54.89  54.23  54.78  461900  54.78
2013-10-25  54.68  54.81  54.24  54.79  308400  54.79
2013-10-24  53.68  54.89  53.54  54.8  542100  54.8
2013-10-23  53.66  54.32  53.18  53.48  406800  53.48
2013-10-22  52.17  54.32  52.05  54.09  770200  54.09
2013-10-21  51.98  52.15  51.01  51.85  832400  51.85
2013-10-18  51.94  52.21  51.77  52.03  398300  52.03
2013-10-17  51.58  52.03  51.04  51.95  812600  51.95
2013-10-16  52.0  52.34  51.55  51.72  391500  51.72
2013-10-15  52.6  52.86  51.23  51.53  454300  51.53
2013-10-14  52.19  53.11  51.27  52.88  439600  52.88
2013-10-11  52.06  53.11  51.91  52.78  592600  52.78
2013-10-10  51.41  52.35  51.28  52.3  460500  52.3
2013-10-09  51.35  51.35  50.27  50.7  441800  50.7
2013-10-08  52.36  52.91  51.01  51.31  444000  51.31
2013-10-07  52.2  52.73  51.95  52.46  269300  52.46
2013-10-04  52.53  52.83  51.95  52.76  424300  52.76
2013-10-03  53.49  53.85  51.82  52.61  543000  52.61
2013-10-02  52.41  53.67  52.24  53.63  747600  53.63
2013-10-01  51.83  52.73  51.8  52.64  433100  52.64
2013-09-30  50.65  52.31  50.65  51.76  695200  51.76
2013-09-27  51.68  51.68  51.0  51.25  357600  51.25
2013-09-26  52.22  52.66  51.34  52.03  398800  52.03
2013-09-25  51.67  52.82  51.23  52.13  537600  52.13
2013-09-24  51.2  52.13  50.57  51.5  434300  51.5
2013-09-23  51.59  51.85  50.94  51.06  432700  51.06
2013-09-20  52.92  53.34  51.94  51.94  935900  51.94
2013-09-19  53.59  54.12  52.81  52.88  652400  52.88
2013-09-18  51.65  53.36  51.34  53.33  862100  53.33
2013-09-17  52.18  52.67  51.51  51.87  686500  51.87
2013-09-16  53.81  54.32  52.05  52.3  791600  52.3
2013-09-13  51.76  52.69  51.12  52.52  532600  52.52
2013-09-12  51.98  52.35  51.31  51.65  354900  51.65
2013-09-11  51.48  52.44  51.21  52.36  727600  52.36
2013-09-10  50.78  51.67  50.3  51.45  755500  51.45
2013-09-09  49.07  50.28  49.02  50.18  535600  50.18
2013-09-06  49.52  49.83  48.76  49.09  742000  49.09
2013-09-05  48.7  49.17  48.55  49.15  456600  49.15
2013-09-04  48.32  48.84  47.95  48.76  667100  48.76
2013-09-03  48.34  48.94  47.98  48.44  843500  48.44
2013-08-30  47.64  47.99  47.15  47.75  623700  47.75
2013-08-29  47.55  48.3  47.1  47.6  789800  47.6
2013-08-28  47.65  48.46  47.65  47.81  497800  47.81
2013-08-27  47.27  48.29  47.19  47.73  823900  47.73
2013-08-26  48.03  48.61  47.23  47.98  661400  47.98
2013-08-23  49.57  49.93  47.94  48.17  408400  48.17
2013-08-22  48.91  50.02  48.91  49.65  752800  49.65
2013-08-21  49.32  49.74  48.28  48.91  766700  48.91
2013-08-20  47.68  49.6  47.48  49.57  867000  49.57
2013-08-19  47.63  48.04  47.34  47.68  593100  47.68
2013-08-16  47.29  47.89  46.98  47.79  970500  47.79
2013-08-15  47.67  47.67  46.73  47.26  847800  47.26
2013-08-14  48.16  48.57  47.9  48.38  403800  48.38
2013-08-13  48.21  48.42  47.85  48.24  1290100  48.24
2013-08-12  47.91  48.64  47.74  48.15  522000  48.15
2013-08-09  47.67  48.56  47.49  48.32  354100  48.32
2013-08-08  47.51  48.37  47.03  48.14  491200  48.14
2013-08-07  47.6  47.71  46.85  47.15  823200  47.15
2013-08-06  49.08  49.34  47.53  47.65  769200  47.65
2013-08-05  48.94  49.44  48.62  49.37  377100  49.37
2013-08-02  49.3  49.9  48.87  49.17  403200  49.17
2013-08-01  47.89  50.72  47.89  49.62  989200  49.62
2013-07-31  47.34  47.93  46.92  47.13  596800  47.13
2013-07-30  47.94  48.11  46.45  47.23  1326700  47.23
2013-07-29  48.72  48.77  47.53  47.87  450800  47.87
2013-07-26  47.64  48.91  47.63  48.9  910700  48.9
2013-07-25  48.69  48.96  47.59  48.02  534200  48.02
2013-07-24  49.61  49.79  48.43  48.87  403300  48.87
2013-07-23  50.39  50.54  49.49  49.61  271500  49.61
2013-07-22  50.5  50.77  50.09  50.17  279500  50.17
2013-07-19  50.23  50.85  50.08  50.42  607000  50.42
2013-07-18  50.03  50.77  49.93  50.16  334800  50.16
2013-07-17  49.38  50.23  49.17  49.92  382000  49.92
2013-07-16  50.36  50.51  48.97  49.18  368500  49.18
2013-07-15  50.53  50.93  49.93  50.2  267500  50.2
2013-07-12  50.49  50.76  49.83  50.62  399300  50.62
2013-07-11  50.02  50.75  49.61  50.65  717600  50.65
2013-07-10  48.82  49.48  48.5  49.27  407300  49.27
2013-07-09  47.18  49.21  47.06  48.83  761400  48.83
2013-07-08  47.17  47.99  46.23  46.86  661200  46.86
2013-07-05  47.83  48.06  46.16  46.89  723000  46.89
2013-07-03  47.54  47.85  47.22  47.41  282500  47.41
2013-07-02  48.6  49.31  47.66  47.73  655800  47.73
2013-07-01  48.8  49.91  48.54  48.73  541000  48.73
2013-06-28  49.94  50.28  48.3  48.35  666900  48.35
2013-06-27  49.48  50.25  48.97  50.19  629500  50.19
2013-06-26  49.26  49.93  48.82  49.02  563000  49.02
2013-06-25  48.57  48.89  48.16  48.56  796600  48.56
2013-06-24  49.33  49.77  47.6  47.96  968900  47.96
2013-06-21  51.96  51.96  49.66  50.14  1211200  50.14
2013-06-20  52.64  52.89  51.3  51.49  632500  51.49
2013-06-19  53.9  54.58  53.37  53.41  376000  53.41
2013-06-18  54.51  54.6  53.82  54.09  512100  54.09
2013-06-17  54.12  54.65  53.77  54.46  406600  54.46
2013-06-14  54.3  54.37  53.55  53.63  433000  53.63
2013-06-13  53.0  54.51  52.68  54.43  515900  54.43
2013-06-12  53.28  53.53  52.59  53.03  600300  53.03
2013-06-11  52.38  53.87  52.25  52.71  534200  52.71
2013-06-10  52.34  53.73  51.75  53.4  501200  53.4
2013-06-07  52.05  52.47  51.19  52.13  368800  52.13
2013-06-06  50.78  51.66  50.13  51.65  811900  51.65
2013-06-05  51.73  52.15  50.8  50.92  429000  50.92
2013-06-04  53.14  54.16  51.86  52.03  450900  52.03
2013-06-03  53.71  53.71  51.8  53.15  690300  53.15
2013-05-31  54.26  54.53  53.5  53.52  495200  53.52
2013-05-30  54.32  54.82  54.19  54.6  877300  54.6
2013-05-29  54.11  54.48  53.33  54.19  303700  54.19
2013-05-28  54.63  55.21  54.44  54.65  479900  54.65
2013-05-24  52.97  54.05  52.48  53.69  341900  53.69
2013-05-23  52.19  53.69  52.19  53.45  813400  53.45
2013-05-22  54.79  55.26  53.24  53.82  759400  53.82
2013-05-21  54.97  55.23  54.62  54.9  368300  54.9
2013-05-20  54.95  55.67  54.49  55.01  533600  55.01
2013-05-17  54.7  55.01  54.21  54.99  571500  54.99
2013-05-16  54.58  55.07  54.34  54.42  383500  54.42
2013-05-15  54.44  55.1  54.18  54.86  486400  54.86
2013-05-14  53.82  54.78  53.79  54.66  555300  54.66
2013-05-13  54.38  54.76  53.8  54.01  490000  54.01
2013-05-10  54.38  54.61  53.93  54.5  528100  54.5
2013-05-09  54.68  55.03  54.2  54.54  905000  54.54
2013-05-08  54.31  54.81  53.73  54.81  688400  54.81
2013-05-07  53.67  54.45  53.3  54.4  593900  54.4
2013-05-06  52.99  54.13  52.55  53.65  814200  53.65
2013-05-03  51.52  54.01  51.23  53.41  1309100  53.41
2013-05-02  48.93  51.22  48.46  50.91  982000  50.91
2013-05-01  49.52  49.6  47.94  48.32  743900  48.32
2013-04-30  48.21  49.98  48.03  49.81  912200  49.81
2013-04-29  46.85  48.88  46.51  48.67  1091500  48.67
2013-04-26  47.3  47.3  45.8  46.46  1051100  46.46
2013-04-25  48.08  48.18  47.27  47.36  703400  47.36
2013-04-24  47.04  47.97  46.54  47.7  940700  47.7
2013-04-23  47.01  47.45  45.99  46.92  634600  46.92
2013-04-22  46.19  46.84  45.46  46.61  864700  46.61
2013-04-19  46.18  46.32  45.39  45.99  1037200  45.99
2013-04-18  47.76  47.79  45.62  45.97  463600  45.97
2013-04-17  48.26  48.46  47.28  47.67  675300  47.67
2013-04-16  46.6  48.63  46.6  48.62  1209600  48.62
2013-04-15  48.21  48.29  45.36  45.53  1309000  45.53
2013-04-12  50.22  50.49  48.64  48.81  466700  48.81
2013-04-11  49.78  50.94  49.36  50.71  550300  50.71
2013-04-10  49.56  49.84  48.58  49.81  472700  49.81
2013-04-09  48.87  49.64  48.19  49.58  516700  49.58
2013-04-08  48.87  49.3  48.26  48.86  515600  48.86
2013-04-05  47.49  48.85  47.47  48.76  526800  48.76
2013-04-04  48.17  48.82  48.07  48.4  431800  48.4
2013-04-03  48.99  49.21  47.52  48.15  704100  48.15
2013-04-02  50.49  50.53  48.71  48.85  514800  48.85
2013-04-01  51.63  51.63  49.96  50.17  294800  50.17
2013-03-28  51.07  51.77  50.32  51.63  723300  51.63
2013-03-27  50.82  51.13  50.45  51.02  271800  51.02
2013-03-26  51.64  51.98  50.89  51.43  317200  51.43
2013-03-25  51.64  52.25  51.41  51.43  659500  51.43
2013-03-22  52.09  52.43  51.08  51.36  479800  51.36
2013-03-21  53.64  53.64  52.1  52.18  397800  52.18
2013-03-20  53.51  53.91  53.12  53.67  295500  53.67
2013-03-19  54.26  54.41  52.77  52.97  400100  52.97
2013-03-18  53.73  54.66  53.71  54.03  374300  54.03
2013-03-15  54.5  54.82  53.87  54.49  660900  54.49
2013-03-14  54.42  55.3  54.42  54.74  547100  54.74
2013-03-13  54.22  54.59  53.93  54.38  297100  54.38
2013-03-12  54.47  54.82  54.08  54.21  323900  54.21
2013-03-11  54.47  54.72  54.07  54.57  427300  54.57
2013-03-08  54.08  54.84  54.08  54.65  488600  54.65
2013-03-07  53.5  53.97  53.11  53.91  498800  53.91
2013-03-06  53.72  54.04  53.31  53.43  496000  53.43
2013-03-05  52.41  54.28  52.07  53.62  868000  53.62
2013-03-04  51.55  52.26  51.34  52.03  584200  52.03
2013-03-01  50.48  52.18  49.88  51.92  761800  51.92
2013-02-28  51.03  51.35  50.51  50.86  1480400  50.86
2013-02-27  50.45  51.35  50.41  51.03  699000  51.03
2013-02-26  49.92  50.64  49.28  50.51  725400  50.51
2013-02-25  52.33  52.62  49.28  49.41  961300  49.41
2013-02-22  52.3  52.7  51.68  51.89  829200  51.89
2013-02-21  51.74  52.32  51.43  51.92  783800  51.92
2013-02-20  54.55  54.68  52.18  52.24  690900  52.24
2013-02-19  54.94  55.25  54.43  54.73  623600  54.73
2013-02-15  54.77  55.2  54.42  54.95  1055100  54.95
2013-02-14  55.38  55.42  52.71  54.79  1673800  54.79
2013-02-13  56.2  56.38  55.66  55.77  751100  55.77
2013-02-12  55.48  56.56  55.46  56.03  732300  56.03
2013-02-11  55.88  56.2  55.55  55.56  214100  55.56
2013-02-08  55.42  56.06  55.42  55.99  394700  55.99
2013-02-07  56.19  56.3  54.79  55.33  463400  55.33
2013-02-06  56.03  56.43  55.68  56.13  967600  56.13
2013-02-05  56.51  56.85  56.11  56.27  416300  56.27
2013-02-04  56.21  56.94  56.11  56.19  453900  56.19
2013-02-01  57.14  57.18  56.45  56.79  679500  56.79
2013-01-31  56.61  56.97  55.95  56.47  826300  56.47
2013-01-30  58.64  58.7  56.27  56.74  869300  56.74
2013-01-29  56.74  58.91  56.46  58.65  1345400  58.65
2013-01-28  57.16  57.36  56.22  56.74  497100  56.74
2013-01-25  57.81  57.88  56.82  57.11  915100  57.11
2013-01-24  57.69  58.32  56.87  57.41  790300  57.41
2013-01-23  58.34  58.48  57.33  57.4  812800  57.4
2013-01-22  56.72  59.39  56.54  58.48  1301700  58.48
2013-01-18  55.37  56.63  55.06  56.6  1018100  56.6
2013-01-17  54.42  55.32  54.26  55.06  879600  55.06
2013-01-16  53.99  54.25  53.57  54.04  336300  54.04
2013-01-15  53.3  54.34  53.29  54.29  423300  54.29
2013-01-14  54.48  54.66  53.46  53.79  420900  53.79
2013-01-11  54.0  54.52  53.87  54.5  469600  54.5
2013-01-10  53.82  54.17  53.36  54.12  614800  54.12
2013-01-09  53.81  53.93  53.32  53.67  470400  53.67
2013-01-08  53.49  53.77  52.6  53.68  523500  53.68
2013-01-07  53.24  53.8  53.02  53.65  369000  53.65
2013-01-04  53.64  53.81  53.07  53.77  430200  53.77
2013-01-03  53.83  54.14  53.23  53.42  590900  53.42
2013-01-02  53.22  54.22  53.05  53.8  860000  53.8
2012-12-31  50.92  51.97  50.85  51.97  713200  51.97
2012-12-28  51.21  51.44  50.6  51.12  399200  51.12
2012-12-27  52.9  53.01  51.28  51.62  527700  51.62
2012-12-26  52.89  53.21  52.27  52.73  479700  52.73
2012-12-24  52.1  53.02  52.1  52.89  264300  52.89
2012-12-21  52.96  53.08  51.71  52.18  1254400  52.18
2012-12-20  52.94  53.17  52.68  53.17  811800  53.17
2012-12-19  53.11  53.29  52.26  53.02  711600  53.02
2012-12-18  52.63  53.15  52.59  53.11  1148800  53.11
2012-12-17  51.66  52.76  51.33  52.63  888200  52.63
2012-12-14  51.59  51.72  50.94  51.52  681800  51.52
2012-12-13  51.33  51.9  51.11  51.6  803800  51.6
2012-12-12  52.43  52.63  50.91  51.22  1116200  51.22
2012-12-11  52.46  52.63  51.86  52.17  741700  52.17
2012-12-10  52.01  52.22  51.71  52.01  535000  52.01
2012-12-07  52.42  52.42  51.34  51.92  1012900  51.92
