Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  55.07  55.63  54.7  55.11  1505400  55.11
2014-02-27  54.76  55.5  54.53  55.23  1430100  55.23
2014-02-26  55.24  55.48  54.75  55.03  845600  55.03
2014-02-25  54.87  55.25  54.77  55.04  1933000  55.04
2014-02-24  53.9  55.61  53.9  54.72  1089800  54.72
2014-02-21  55.82  55.99  54.98  54.99  2410600  54.99
2014-02-20  55.3  55.75  54.84  55.7  1374400  55.7
2014-02-19  55.31  55.92  55.14  55.24  1697800  55.24
2014-02-18  54.45  55.52  54.32  55.51  2045600  55.51
2014-02-14  54.42  54.79  53.95  54.52  1721000  54.52
2014-02-13  51.41  54.57  51.41  54.42  1190200  54.42
2014-02-12  54.08  54.23  53.83  54.08  2310100  54.08
2014-02-11  53.65  54.07  53.34  53.96  1940100  53.96
2014-02-10  52.68  53.87  52.68  53.87  2460300  53.87
2014-02-07  53.01  53.14  50.49  52.68  6534100  52.68
2014-02-06  55.42  56.49  55.38  55.42  6766000  55.42
2014-02-05  56.37  56.8  55.49  55.52  4026900  55.52
2014-02-04  56.34  56.99  55.43  56.1  6082500  56.1
2014-02-03  58.4  58.73  56.21  56.28  2719800  56.28
2014-01-31  58.83  59.41  58.47  58.75  2604600  58.75
2014-01-30  59.45  59.84  59.36  59.44  1031100  59.44
2014-01-29  59.17  59.65  58.67  59.01  1032100  59.01
2014-01-28  59.34  60.09  59.32  59.6  1736400  59.6
2014-01-27  60.4  60.64  59.3  59.38  1816400  59.38
2014-01-24  61.94  61.95  60.37  60.37  1106400  60.37
2014-01-23  61.86  62.48  61.75  62.47  829200  62.47
2014-01-22  61.97  62.21  61.54  62.21  718400  62.21
2014-01-21  62.6  62.61  61.59  61.96  724200  61.96
2014-01-17  61.5  61.96  61.01  61.89  1265800  61.89
2014-01-16  62.81  62.96  61.56  61.62  4449600  61.62
2014-01-15  61.71  62.65  61.57  62.61  1194100  62.61
2014-01-14  60.64  61.53  60.48  61.53  803700  61.53
2014-01-13  61.55  61.8  60.17  60.33  1100300  60.33
2014-01-10  60.97  61.5  60.97  61.46  1383000  61.46
2014-01-09  61.5  61.93  60.79  60.98  2238000  60.98
2014-01-08  60.36  61.29  60.36  61.24  1476900  61.24
2014-01-07  59.49  61.33  59.48  61.14  1696400  61.14
2014-01-06  60.0  60.12  59.29  59.46  1144500  59.46
