Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  62.44  62.71  62.0  62.43  2178400  62.43
2014-02-27  61.99  62.58  61.93  62.44  1467800  62.44
2014-02-26  61.78  62.2  61.0  61.94  1703500  61.94
2014-02-25  61.82  62.13  61.34  61.49  1204300  61.49
2014-02-24  60.75  62.44  60.75  61.71  2049100  61.71
2014-02-21  61.13  61.49  60.53  60.62  2154200  60.62
2014-02-20  61.95  62.49  60.92  61.15  1301700  61.15
2014-02-19  61.31  62.8  61.23  61.91  1751700  61.91
2014-02-18  61.51  61.61  60.42  61.42  1967200  61.42
2014-02-14  62.7  63.1  60.79  61.52  2079300  61.52
2014-02-13  61.51  62.84  61.5  62.6  1635300  62.6
2014-02-12  62.55  62.62  61.63  61.78  1934900  61.78
2014-02-11  62.81  62.91  61.92  62.63  1564100  62.63
2014-02-10  62.06  63.04  61.85  62.95  1509800  62.95
2014-02-07  61.97  62.18  61.39  61.94  1424400  61.94
2014-02-06  61.55  62.08  61.36  61.8  1847000  61.8
2014-02-05  61.85  62.15  61.0  61.54  1589300  61.54
2014-02-04  61.7  62.1  61.48  61.99  1533700  61.99
2014-02-03  62.46  62.48  61.33  61.55  1664300  61.55
2014-01-31  61.33  62.7  61.24  62.39  2408800  62.39
2014-01-30  62.03  62.6  61.76  61.83  1468700  61.83
2014-01-29  61.3  61.97  61.06  61.6  1435400  61.6
2014-01-28  61.47  62.16  61.46  61.82  1448700  61.82
2014-01-27  61.55  62.16  61.36  61.36  1911100  61.36
2014-01-24  61.37  61.87  61.16  61.39  2498100  61.39
2014-01-23  61.27  61.64  61.27  61.47  1916000  61.47
2014-01-22  61.8  62.24  61.4  61.64  2297900  61.64
2014-01-21  61.25  61.86  61.01  61.8  2196200  61.8
2014-01-17  61.4  61.46  60.55  60.96  2215600  60.96
2014-01-16  60.21  61.21  60.04  61.2  1839500  61.2
2014-01-15  59.79  60.43  59.79  60.29  1692700  60.29
2014-01-14  60.13  60.13  59.59  59.94  2041300  59.94
2014-01-13  60.99  61.1  59.37  59.9  2836500  59.9
2014-01-10  58.51  60.98  58.51  60.7  3116400  60.7
2014-01-09  57.87  58.6  57.65  58.04  1488600  58.04
2014-01-08  58.07  58.55  57.57  57.89  1887300  57.89
2014-01-07  58.19  58.53  57.56  58.22  2504700  58.22
2014-01-06  57.67  58.66  57.13  58.2  2546800  58.2
2014-01-03  57.03  57.11  56.63  56.79  1163100  56.79
2014-01-02  56.95  57.22  56.43  56.82  1513100  56.82
2013-12-31  57.74  57.93  57.12  57.28  1664300  57.28
2013-12-30  57.17  57.98  57.17  57.69  1180300  57.69
2013-12-27  57.27  57.51  56.85  57.24  1135800  57.24
2013-12-26  57.12  57.58  57.11  57.26  1286400  57.26
2013-12-24  57.11  57.47  56.89  57.13  625100  57.13
2013-12-23  57.57  57.95  57.08  57.14  1728600  57.14
2013-12-20  56.91  57.38  56.75  57.35  2615400  57.35
2013-12-19  57.29  57.39  55.88  56.65  2621500  56.65
2013-12-18  56.75  57.89  55.58  57.76  2936500  57.76
2013-12-17  56.44  56.75  56.25  56.58  2161200  56.58
2013-12-16  56.05  56.58  56.01  56.33  2396200  56.33
2013-12-13  55.69  56.58  55.52  55.98  1913900  55.98
2013-12-12  55.5  55.81  54.89  55.26  2470200  55.26
2013-12-11  57.11  57.23  55.58  55.61  2290000  55.61
2013-12-10  56.67  57.59  56.56  57.23  3019100  57.23
2013-12-09  55.79  56.53  55.45  56.52  2351900  56.52
2013-12-06  56.26  56.41  55.26  55.62  1142800  55.62
2013-12-05  55.43  56.14  54.95  55.95  1564800  55.95
2013-12-04  54.69  55.95  54.65  55.49  1810700  55.49
2013-12-03  55.48  55.53  55.06  55.25  1558700  55.25
2013-12-02  56.09  56.27  55.28  55.54  1423500  55.54
2013-11-29  57.0  57.03  56.09  56.1  784400  56.1
2013-11-27  56.71  56.98  56.31  56.9  1466700  56.9
2013-11-26  57.44  57.66  56.63  56.74  1571500  56.74
2013-11-25  58.54  58.67  57.03  57.4  1526000  57.4
2013-11-22  58.99  59.13  58.05  58.39  1194300  58.39
2013-11-21  58.63  59.14  58.28  58.99  1090600  58.99
2013-11-20  59.93  60.39  58.18  58.41  1696400  58.41
2013-11-19  60.3  60.3  59.39  59.62  887600  59.62
2013-11-18  60.4  60.61  60.15  60.16  1163300  60.16
2013-11-15  60.07  60.76  60.07  60.39  1376700  60.39
2013-11-14  60.18  60.65  59.72  60.09  1396500  60.09
2013-11-13  59.87  60.0  59.37  59.73  1506500  59.73
2013-11-12  60.6  60.75  59.59  59.95  953100  59.95
2013-11-11  60.83  61.34  60.51  60.69  895600  60.69
2013-11-08  62.3  62.31  59.87  60.78  1808700  60.78
2013-11-07  63.29  63.67  62.62  62.81  1223400  62.81
2013-11-06  63.48  63.72  63.06  63.21  1455900  63.21
2013-11-05  64.6  64.87  62.99  63.17  1557000  63.17
2013-11-04  64.8  65.11  64.16  64.97  1145700  64.97
2013-11-01  64.53  64.93  64.24  64.7  1507700  64.7
2013-10-31  65.07  65.37  64.28  64.4  1427200  64.4
2013-10-30  65.39  65.63  64.8  64.97  922000  64.97
2013-10-29  65.81  65.93  64.9  65.26  1295500  65.26
2013-10-28  66.51  66.51  65.0  65.74  1360300  65.74
2013-10-25  66.38  66.77  65.46  66.46  1727000  66.46
2013-10-24  65.13  65.22  64.69  65.17  1094300  65.17
2013-10-23  64.9  65.43  64.69  65.15  1258900  65.15
2013-10-22  64.09  65.35  63.74  64.99  1076900  64.99
2013-10-21  64.72  64.72  63.7  63.99  1334100  63.99
2013-10-18  65.27  65.74  64.49  64.7  1480400  64.7
2013-10-17  63.96  65.15  63.73  64.97  1273000  64.97
2013-10-16  62.97  63.94  62.75  63.84  1502500  63.84
2013-10-15  62.56  63.17  62.14  62.49  1060800  62.49
2013-10-14  62.64  63.19  62.19  62.8  1033500  62.8
2013-10-11  62.88  63.27  62.23  63.27  1089400  63.27
2013-10-10  61.86  62.93  61.58  62.85  1358200  62.85
2013-10-09  61.34  61.79  61.06  61.25  1042500  61.25
2013-10-08  61.29  61.92  61.22  61.28  1375400  61.28
2013-10-07  60.37  61.71  60.32  61.32  774500  61.32
2013-10-04  61.22  61.76  60.68  60.91  1213200  60.91
2013-10-03  62.38  62.56  60.76  61.23  2217000  61.23
2013-10-02  62.25  62.73  61.34  62.66  2127900  62.66
2013-10-01  60.45  62.79  60.45  62.3  1684300  62.3
2013-09-30  61.53  62.28  60.33  60.71  2109300  60.71
