Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  47.45  47.76  47.21  47.58  62309000  47.58
2014-02-27  46.34  47.78  46.28  47.5  139433900  47.5
2014-02-26  46.09  46.5  45.89  46.35  102687200  46.35
2014-02-25  46.42  46.76  46.19  46.29  145797400  46.29
2014-02-24  47.02  47.2  46.23  46.23  616620500  46.23
2014-02-21  47.55  48.25  47.18  47.27  60808800  47.27
2014-02-20  46.81  48.34  46.75  48.12  48975300  48.12
2014-02-19  45.74  46.84  45.56  46.53  34094900  46.53
2014-02-18  46.47  46.5  45.45  45.98  34912800  45.98
2014-02-14  47.14  47.14  46.42  46.51  26251600  46.51
2014-02-13  47.24  47.46  47.0  47.31  18833600  47.31
2014-02-12  47.44  47.44  47.06  47.37  23453500  47.37
2014-02-11  47.04  47.37  46.91  47.21  16222300  47.21
2014-02-10  46.81  46.95  46.18  46.91  12412500  46.91
2014-02-07  46.89  46.98  46.58  46.81  13375500  46.81
2014-02-06  46.62  46.88  46.38  46.68  17564000  46.68
2014-02-05  46.73  46.9  46.31  46.69  19731700  46.69
2014-02-04  46.29  46.83  46.11  46.82  22706300  46.82
2014-02-03  48.02  48.02  46.22  46.41  36115400  46.41
2014-01-31  47.1  48.5  47.02  48.02  18536600  48.02
2014-01-30  47.77  48.09  47.55  47.63  14441900  47.63
2014-01-29  47.0  47.98  46.69  47.69  24965700  47.69
2014-01-28  47.67  47.87  47.33  47.36  16345400  47.36
2014-01-27  47.71  48.36  47.41  47.69  21418600  47.69
2014-01-24  47.61  48.51  47.51  47.63  25665600  47.63
2014-01-23  47.06  47.86  46.94  47.86  22638200  47.86
2014-01-22  47.44  47.52  47.09  47.33  17975700  47.33
2014-01-21  48.84  48.9  46.76  47.7  33165500  47.7
2014-01-17  48.66  48.69  48.0  48.35  15988600  48.35
2014-01-16  48.26  48.66  47.95  48.53  14193200  48.53
2014-01-15  47.35  48.38  47.28  48.27  21722300  48.27
2014-01-14  47.04  47.23  46.58  47.08  19270700  47.08
2014-01-13  47.65  47.75  46.95  47.03  18784000  47.03
2014-01-10  47.84  48.09  47.43  47.75  11445900  47.75
2014-01-09  48.43  48.51  47.49  47.5  14567000  47.5
2014-01-08  48.69  49.07  48.36  48.5  13110700  48.5
2014-01-07  48.59  48.87  48.06  48.77  17594600  48.77
2014-01-06  48.25  48.55  47.69  48.17  16054800  48.17
2014-01-03  48.8  48.8  47.7  47.9  12022200  47.9
2014-01-02  48.55  48.7  48.42  48.47  9270200  48.47
2013-12-31  48.47  48.69  48.25  48.61  7557100  48.61
2013-12-30  48.52  48.75  48.46  48.62  5460000  48.62
2013-12-27  48.76  48.82  48.46  48.64  5372600  48.64
2013-12-26  48.49  48.81  48.4  48.65  5101200  48.65
2013-12-24  48.08  48.55  48.08  48.45  5052400  48.45
2013-12-23  47.86  48.22  47.85  48.06  11735800  48.06
2013-12-20  47.99  48.22  47.56  47.56  17676700  47.56
2013-12-19  47.66  48.13  47.5  47.91  10188500  47.91
2013-12-18  47.32  48.01  46.96  47.95  16094000  47.95
2013-12-17  47.55  47.55  46.94  47.05  13276700  47.05
2013-12-16  47.82  48.88  47.68  47.74  16042700  47.74
2013-12-13  47.6  47.66  47.01  47.33  11903800  47.33
2013-12-12  47.97  48.01  47.35  47.61  12161700  47.61
2013-12-11  48.47  48.47  47.52  47.97  16154300  47.97
2013-12-10  48.96  48.97  48.32  48.52  13270800  48.52
2013-12-09  48.55  49.1  48.27  49.04  11946000  49.04
2013-12-06  48.72  49.07  48.43  48.95  11177200  48.95
2013-12-05  48.65  48.65  47.91  48.38  14821100  48.38
2013-12-04  48.79  49.26  48.57  48.84  10707300  48.84
2013-12-03  48.74  49.07  48.61  49.07  10224900  49.07
2013-12-02  49.13  49.17  48.61  48.73  10657800  48.73
2013-11-29  49.51  49.52  49.01  49.09  4908600  49.09
2013-11-27  49.6  49.66  49.1  49.39  7320300  49.39
2013-11-26  49.54  49.82  49.37  49.51  8631600  49.51
2013-11-25  49.75  49.8  49.38  49.47  5947500  49.47
2013-11-22  49.76  49.86  49.47  49.68  9849600  49.68
2013-11-21  50.06  50.26  49.81  49.84  6608000  49.84
2013-11-20  50.25  50.7  49.77  49.86  9634100  49.86
2013-11-19  50.28  50.5  49.95  50.23  7936800  50.23
2013-11-18  49.8  50.26  49.79  50.21  10224600  50.21
2013-11-15  49.62  49.88  49.33  49.77  9101200  49.77
2013-11-14  49.55  49.89  49.55  49.73  8874000  49.73
2013-11-13  49.34  49.46  48.83  49.45  10915600  49.45
2013-11-12  49.47  49.93  49.24  49.62  9595800  49.62
2013-11-11  49.58  49.71  49.23  49.42  5166900  49.42
2013-11-08  49.52  49.7  48.99  49.66  16392100  49.66
2013-11-07  50.01  50.45  49.51  49.63  10806500  49.63
2013-11-06  49.84  50.32  49.81  50.07  9305600  50.07
2013-11-05  50.26  50.32  49.54  49.56  11824600  49.56
2013-11-04  50.37  50.54  49.99  50.53  8296500  50.53
2013-11-01  50.25  50.91  49.8  49.95  11448800  49.95
2013-10-31  49.95  50.37  49.51  49.97  10922600  49.97
2013-10-30  50.84  50.85  49.85  49.99  12593900  49.99
2013-10-29  50.08  50.94  50.04  50.54  14668300  50.54
2013-10-28  50.15  50.18  49.74  50.03  12444600  50.03
2013-10-25  49.78  50.23  49.57  50.16  9184600  50.16
2013-10-24  50.49  50.64  49.78  49.88  10354600  49.88
2013-10-23  50.48  50.82  50.22  50.27  11362000  50.27
2013-10-22  50.02  50.75  49.61  50.59  15220100  50.59
2013-10-21  49.48  50.07  49.47  50.04  14398500  50.04
2013-10-18  48.83  49.52  48.64  49.47  22190700  49.47
2013-10-17  48.04  48.71  47.6  48.37  29363600  48.37
2013-10-16  46.1  46.93  45.9  46.74  18900300  46.74
2013-10-15  46.29  46.43  45.77  45.82  12571300  45.82
2013-10-14  46.29  46.6  46.18  46.31  10940400  46.31
2013-10-11  46.3  46.58  46.15  46.58  11131200  46.58
2013-10-10  46.15  46.36  45.71  46.36  11555100  46.36
2013-10-09  45.71  46.27  45.56  45.7  13270800  45.7
2013-10-08  46.21  46.22  45.53  45.55  15794300  45.55
2013-10-07  45.86  46.61  45.74  46.26  45152600  46.26
2013-10-04  46.02  46.09  45.63  46.07  47164000  46.07
2013-10-03  45.66  46.15  45.5  45.98  14961500  45.98
2013-10-02  45.82  45.96  45.32  45.77  11939100  45.77
2013-10-01  45.6  45.97  45.51  45.96  10054900  45.96
2013-09-30  45.55  45.88  45.31  45.65  12315600  45.65
2013-09-27  46.38  46.41  45.67  45.97  10311600  45.97
2013-09-26  46.02  46.67  46.02  46.63  10233200  46.63
2013-09-25  46.26  46.31  45.73  45.92  13291600  45.92
2013-09-24  46.65  46.66  45.86  46.24  16939100  46.24
2013-09-23  46.67  46.95  46.33  46.93  9088700  46.93
2013-09-20  47.53  47.53  46.51  46.74  15178200  46.74
2013-09-19  47.56  47.82  47.17  47.45  11498400  47.45
2013-09-18  47.45  47.77  46.83  47.66  10933800  47.66
2013-09-17  47.41  47.64  47.22  47.51  10265600  47.51
2013-09-16  47.26  47.45  47.02  47.25  15342700  47.25
2013-09-13  46.76  47.31  46.52  46.72  16631800  46.72
2013-09-12  45.59  46.49  45.43  46.32  18127800  46.32
2013-09-11  45.47  45.87  45.3  45.5  16048000  45.5
2013-09-10  44.96  45.58  44.48  45.46  19005500  45.46
2013-09-09  45.34  45.39  44.82  44.91  12732600  44.91
2013-09-06  45.99  46.01  45.04  45.33  13434300  45.33
2013-09-05  46.08  46.54  45.32  45.62  17784300  45.62
2013-09-04  44.71  46.04  44.7  45.76  26556600  45.76
2013-09-03  44.53  45.44  44.1  45.01  47084100  45.01
2013-08-30  46.79  46.93  46.08  46.35  13416200  46.35
2013-08-29  47.56  47.6  46.54  46.78  36425300  46.78
2013-08-28  45.85  45.89  45.52  45.54  6798000  45.54
2013-08-27  45.56  45.97  45.24  45.92  9654300  45.92
2013-08-26  46.49  46.49  45.91  45.91  6943000  45.91
2013-08-23  45.99  46.66  45.92  46.57  6779300  46.57
2013-08-22  46.41  46.41  45.72  45.99  9861100  45.99
2013-08-21  46.75  46.75  46.2  46.24  8432300  46.24
2013-08-20  46.5  47.12  46.46  46.86  7263000  46.86
2013-08-19  46.51  47.04  46.41  46.46  7869000  46.46
2013-08-16  47.24  47.47  46.3  46.67  15381800  46.67
2013-08-15  47.6  47.91  47.36  47.48  6610600  47.48
2013-08-14  48.03  48.19  47.65  47.82  7391900  47.82
2013-08-13  48.56  48.6  47.96  48.08  7881400  48.08
2013-08-12  48.21  48.68  48.1  48.57  5507700  48.57
2013-08-09  48.61  48.71  47.95  48.24  8583300  48.24
2013-08-08  48.97  48.98  48.38  48.54  8155000  48.54
2013-08-07  48.84  49.15  48.75  48.84  5366300  48.84
2013-08-06  49.1  49.13  48.73  49.0  5225500  49.0
2013-08-05  49.01  49.25  48.86  49.11  4533000  49.11
2013-08-02  48.74  49.34  48.72  49.15  6883300  49.15
2013-08-01  48.96  49.1  48.55  48.92  9001000  48.92
2013-07-31  49.17  49.36  48.37  48.4  14428200  48.4
2013-07-30  50.81  50.81  49.2  49.32  11576500  49.32
2013-07-29  49.92  50.61  49.81  50.37  8444900  50.37
2013-07-26  49.64  49.97  49.41  49.91  7090300  49.91
2013-07-25  49.19  49.69  49.0  49.6  6486600  49.6
2013-07-24  49.06  49.43  48.85  49.28  8468400  49.28
2013-07-23  49.23  49.36  48.94  49.26  6755700  49.26
2013-07-22  48.75  49.21  48.54  49.17  8792400  49.17
2013-07-19  48.96  49.17  48.63  48.86  12332200  48.86
2013-07-18  48.91  49.23  48.12  48.88  12949700  48.88
2013-07-17  49.51  50.15  49.46  49.63  8543900  49.63
2013-07-16  48.66  49.35  48.62  49.18  8841400  49.18
2013-07-15  49.1  49.12  48.32  48.87  10592900  48.87
2013-07-12  50.13  50.18  49.11  49.31  12701400  49.31
2013-07-11  49.88  50.17  49.66  50.09  10229300  50.09
2013-07-10  49.83  49.98  49.32  49.44  8373800  49.44
2013-07-09  50.38  50.46  49.76  49.85  6737900  49.85
2013-07-08  49.98  50.28  49.69  50.05  7234600  50.05
2013-07-05  49.68  49.68  48.75  49.68  8024400  49.68
2013-07-03  48.96  49.67  48.86  49.4  5965700  49.4
