Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  87.88  88.13  86.15  86.99  2704000  86.99
2014-02-27  88.9  89.2  87.53  88.42  1710500  88.42
2014-02-26  88.14  89.79  88.0  89.28  2267200  89.28
2014-02-25  88.5  89.0  87.46  87.79  1310700  87.79
2014-02-24  88.11  89.31  87.68  88.6  1780400  88.6
2014-02-21  86.57  88.16  86.5  88.01  2042500  88.01
2014-02-20  85.55  86.35  84.41  86.24  1641000  86.24
2014-02-19  85.93  86.79  85.28  85.45  1489900  85.45
2014-02-18  87.11  87.99  86.26  86.34  1413700  86.34
2014-02-14  87.08  87.2  85.83  86.71  1210900  86.71
2014-02-13  85.29  86.75  85.04  86.67  1453200  86.67
2014-02-12  85.02  86.81  84.91  86.07  1602700  86.07
2014-02-11  84.54  85.3  83.95  84.87  1278400  84.87
2014-02-10  84.48  85.39  83.59  84.69  1421200  84.69
2014-02-07  83.97  85.41  82.8  84.68  1926900  84.68
2014-02-06  83.33  83.92  82.87  83.35  1211400  83.35
2014-02-05  83.05  83.91  80.84  82.74  2264900  82.74
2014-02-04  84.02  84.16  82.34  83.5  1867300  83.5
2014-02-03  85.7  86.64  83.22  83.5  2532000  83.5
2014-01-31  85.47  86.93  85.36  86.17  2045600  86.17
2014-01-30  84.87  87.15  84.58  86.94  2931500  86.94
2014-01-29  82.95  84.98  82.71  84.2  2523100  84.2
2014-01-28  83.67  84.59  82.53  83.37  4462500  83.37
2014-01-27  85.0  85.92  84.5  84.59  2286500  84.59
2014-01-24  86.08  87.38  84.99  85.0  2560800  85.0
2014-01-23  86.87  88.61  84.55  87.05  4335500  87.05
2014-01-22  88.47  89.29  87.91  88.08  2538800  88.08
2014-01-21  90.0  90.44  87.83  88.86  3057700  88.86
2014-01-17  88.47  89.07  87.85  88.82  2933900  88.82
2014-01-16  89.39  90.04  88.48  88.95  2826000  88.95
2014-01-15  88.7  89.2  87.55  88.98  1833900  88.98
2014-01-14  84.72  87.97  84.72  87.89  1990300  87.89
2014-01-13  85.37  86.7  84.29  84.61  1921500  84.61
2014-01-10  85.3  85.99  85.01  85.46  2001500  85.46
2014-01-09  86.87  87.15  84.75  84.92  2300200  84.92
