Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  144.74  146.5  143.03  144.63  1284000  144.63
2014-02-27  142.07  145.49  142.0  145.03  1110700  145.03
2014-02-26  140.85  143.62  138.9  142.3  1190600  142.3
2014-02-25  140.24  141.57  139.61  140.1  1195300  140.1
2014-02-24  138.89  141.45  138.2  140.24  1219300  140.24
2014-02-21  137.67  139.04  137.43  138.18  1170900  138.18
2014-02-20  134.83  137.65  132.8  137.4  1314500  137.4
2014-02-19  136.07  136.46  134.09  134.51  1257000  134.51
2014-02-18  138.44  139.62  135.25  136.05  1432900  136.05
2014-02-14  137.79  139.75  137.0  137.94  1381000  137.94
2014-02-13  136.14  138.48  135.66  137.82  868300  137.82
2014-02-12  138.02  139.2  135.99  137.32  1250100  137.32
2014-02-11  135.97  137.93  135.68  137.36  1507800  137.36
2014-02-10  135.97  138.2  135.12  135.98  1519900  135.98
2014-02-07  133.94  136.66  133.0  135.94  1958000  135.94
2014-02-06  130.21  133.04  129.94  133.01  1890900  133.01
2014-02-05  128.96  130.15  127.67  129.8  1876000  129.8
2014-02-04  127.71  130.39  127.02  130.02  2339300  130.02
2014-02-03  132.71  133.73  123.84  126.13  3605300  126.13
2014-01-31  130.42  135.72  129.74  132.71  3119400  132.71
2014-01-30  145.8  146.34  129.47  131.63  4738100  131.63
2014-01-29  142.15  143.81  140.34  141.0  1473000  141.0
2014-01-28  141.61  144.54  140.1  143.26  1642900  143.26
2014-01-27  146.95  146.95  141.25  141.86  1925800  141.86
2014-01-24  149.72  151.58  144.85  145.03  1330900  145.03
2014-01-23  148.85  152.7  148.85  152.65  993600  152.65
2014-01-22  153.05  153.05  149.49  150.31  1239600  150.31
2014-01-21  156.58  157.19  150.95  153.02  1072500  153.02
2014-01-17  156.73  159.04  155.5  156.14  772900  156.14
2014-01-16  156.92  158.55  156.1  158.36  714600  158.36
2014-01-15  154.56  157.41  154.53  156.9  753100  156.9
2014-01-14  152.88  154.68  152.62  154.56  1097500  154.56
2014-01-13  155.52  155.85  152.11  152.82  696500  152.82
2014-01-10  159.2  159.29  155.59  155.94  852600  155.94
2014-01-09  157.34  158.65  155.88  158.3  788900  158.3
2014-01-08  154.81  156.91  152.78  156.9  813500  156.9
2014-01-07  154.22  155.46  153.77  153.89  664400  153.89
2014-01-06  156.67  157.0  153.68  153.76  594900  153.76
2014-01-03  155.59  157.85  155.59  156.2  442400  156.2
2014-01-02  155.83  156.42  154.42  155.34  407400  155.34
2013-12-31  156.37  156.8  155.65  156.16  340500  156.16
2013-12-30  155.93  156.87  155.25  156.34  283700  156.34
2013-12-27  158.04  158.33  155.47  156.26  341100  156.26
2013-12-26  155.14  158.51  155.08  157.1  443500  157.1
2013-12-24  155.47  157.01  155.28  156.24  289800  156.24
2013-12-23  155.91  156.32  154.75  155.89  535900  155.89
2013-12-20  154.26  155.87  152.81  154.59  955800  154.59
2013-12-19  155.23  155.44  152.05  152.84  716900  152.84
2013-12-18  151.94  156.0  150.07  155.46  1122400  155.46
2013-12-17  149.95  151.41  148.19  150.86  872800  150.86
2013-12-16  148.93  151.58  148.93  149.27  908400  149.27
2013-12-13  148.59  149.13  146.57  148.19  983100  148.19
2013-12-12  147.47  148.47  147.07  147.97  1036800  147.97
2013-12-11  150.53  151.18  147.03  147.23  867300  147.23
2013-12-10  149.66  154.36  148.6  150.93  935400  150.93
2013-12-09  148.88  151.8  148.62  149.32  835400  149.32
2013-12-06  147.6  149.6  146.75  148.89  755500  148.89
2013-12-05  147.28  147.41  145.57  146.3  648200  146.3
2013-12-04  148.29  149.74  145.92  147.42  715100  147.42
2013-12-03  147.5  148.56  146.89  148.33  783800  148.33
2013-12-02  152.33  152.92  148.43  148.63  595700  148.63
2013-11-29  152.1  153.74  151.54  152.08  267700  152.08
