Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.55  41.52  40.55  41.5  3542400  41.5
2014-02-27  40.83  41.09  40.45  40.58  2166400  40.58
2014-02-26  40.74  41.1  40.65  40.85  2813700  40.85
2014-02-25  41.0  41.16  40.6  40.76  2978300  40.76
2014-02-24  41.04  41.31  40.9  41.06  3222400  41.06
2014-02-21  41.08  41.29  40.83  40.99  2672200  40.99
2014-02-20  41.13  41.41  40.84  40.98  3454600  40.98
2014-02-19  41.17  41.68  40.67  41.19  4958800  41.19
2014-02-18  42.69  43.45  41.4  41.72  6161100  41.72
2014-02-14  43.22  43.78  43.01  43.67  1715900  43.67
2014-02-13  42.72  43.37  42.62  43.33  1134800  43.33
2014-02-12  42.86  43.06  42.8  42.88  1208800  42.88
2014-02-11  42.54  43.07  42.5  42.85  1643900  42.85
2014-02-10  42.84  42.85  42.37  42.64  2498300  42.64
2014-02-07  42.31  43.0  42.31  42.84  2407800  42.84
2014-02-06  41.5  42.25  41.39  42.07  2090600  42.07
2014-02-05  41.13  41.66  41.12  41.5  2167300  41.5
2014-02-04  41.15  41.37  41.08  41.29  1764600  41.29
2014-02-03  41.72  41.86  40.89  41.0  3098500  41.0
2014-01-31  41.34  41.84  41.16  41.78  2745500  41.78
2014-01-30  41.37  41.92  41.31  41.79  1863800  41.79
2014-01-29  41.15  41.46  40.86  41.07  3043600  41.07
2014-01-28  41.63  41.78  41.23  41.44  2139800  41.44
2014-01-27  41.61  41.84  41.37  41.54  2464800  41.54
2014-01-24  42.05  42.12  41.61  41.64  3029400  41.64
2014-01-23  42.49  42.51  41.91  42.31  3057400  42.31
2014-01-22  43.04  43.05  42.68  42.75  1743800  42.75
2014-01-21  43.41  43.45  42.75  42.91  1949300  42.91
2014-01-17  42.96  43.33  42.84  43.12  2450800  43.12
2014-01-16  43.11  43.19  42.75  42.86  2193200  42.86
2014-01-15  43.44  43.48  43.16  43.19  1831900  43.19
2014-01-14  43.09  43.43  43.05  43.3  1794200  43.3
2014-01-13  43.34  43.47  42.93  43.03  2471900  43.03
2014-01-10  44.06  44.14  43.43  43.61  2015400  43.61
2014-01-09  44.1  44.17  43.6  43.73  1637100  43.73
2014-01-08  44.09  44.14  43.78  43.99  1761800  43.99
2014-01-07  44.04  44.18  43.84  44.08  2136700  44.08
2014-01-06  44.38  44.39  43.71  43.76  1907200  43.76
2014-01-03  44.25  44.46  44.0  44.19  1463400  44.19
2014-01-02  44.79  44.8  44.1  44.2  1503800  44.2
2013-12-31  44.91  45.0  44.75  44.87  1027000  44.87
2013-12-30  44.81  44.93  44.68  44.88  1019500  44.88
2013-12-27  44.91  45.02  44.8  44.91  702900  44.91
2013-12-26  45.1  45.12  44.8  44.98  987000  44.98
2013-12-24  44.78  45.09  44.78  44.92  766300  44.92
2013-12-23  44.46  44.79  44.45  44.73  2721900  44.73
2013-12-20  43.84  44.45  43.84  44.37  3735600  44.37
2013-12-19  43.91  44.09  43.69  43.89  2048400  43.89
2013-12-18  43.58  44.03  42.95  43.99  3454600  43.99
2013-12-17  43.66  43.72  43.35  43.46  2733300  43.46
2013-12-16  43.68  43.92  43.6  43.73  3054000  43.73
2013-12-13  43.85  43.97  43.55  43.62  1997700  43.62
2013-12-12  43.7  44.13  43.55  43.81  2350600  43.81
2013-12-11  44.5  44.64  43.72  43.76  2506000  43.76
2013-12-10  44.68  44.77  44.46  44.55  2321200  44.55
2013-12-09  44.85  44.93  44.61  44.65  1716100  44.65
2013-12-06  44.82  45.05  44.74  44.83  1687300  44.83
2013-12-05  44.47  44.61  44.27  44.34  2068500  44.34
2013-12-04  44.5  44.79  44.31  44.56  2322900  44.56
2013-12-03  44.63  44.91  44.52  44.63  2221400  44.63
2013-12-02  45.27  45.36  44.89  44.95  3319300  44.95
2013-11-29  45.23  45.46  45.08  45.32  1131100  45.32
2013-11-27  45.39  45.44  45.0  45.28  1713800  45.28
2013-11-26  45.29  45.43  45.25  45.35  2082800  45.35
2013-11-25  45.86  46.01  45.17  45.31  8638400  45.31
2013-11-22  45.2  45.76  45.11  45.73  7267600  45.73
2013-11-21  45.03  45.51  44.83  45.41  6290900  45.41
2013-11-20  45.1  45.37  44.91  45.05  1530100  45.05
2013-11-19  44.96  45.18  44.79  44.98  2928500  44.98
2013-11-18  44.92  45.36  44.81  45.12  1923900  45.12
2013-11-15  44.41  44.96  44.41  44.85  2052400  44.85
2013-11-14  43.8  44.59  43.79  44.43  2175800  44.43
2013-11-13  43.4  43.83  43.01  43.83  3453100  43.83
2013-11-12  43.6  43.69  43.08  43.44  1838500  43.44
2013-11-11  43.74  44.01  43.62  43.77  1123100  43.77
2013-11-08  43.11  43.81  43.06  43.81  1461400  43.81
2013-11-07  43.47  43.68  43.01  43.03  1908400  43.03
2013-11-06  43.44  43.56  43.22  43.43  2714500  43.43
2013-11-05  43.2  43.44  43.01  43.35  1680900  43.35
2013-11-04  43.4  43.49  43.21  43.27  1967600  43.27
2013-11-01  43.17  43.48  43.09  43.34  1830800  43.34
2013-10-31  42.16  43.3  42.16  43.19  2620900  43.19
2013-10-30  42.9  43.35  42.15  42.2  3818800  42.2
2013-10-29  43.22  44.24  42.86  42.9  4017100  42.9
2013-10-28  43.28  43.52  43.02  43.26  2419800  43.26
2013-10-25  42.84  43.33  42.68  43.3  1552600  43.3
2013-10-24  43.12  43.12  42.62  42.92  1644800  42.92
2013-10-23  42.55  43.02  42.39  42.95  1904100  42.95
2013-10-22  42.28  42.72  42.24  42.67  1447300  42.67
2013-10-21  42.1  42.2  41.75  42.18  1376600  42.18
2013-10-18  42.21  42.25  42.0  42.11  1284200  42.11
2013-10-17  41.44  42.15  41.28  42.13  1768900  42.13
2013-10-16  41.38  41.65  41.21  41.64  1068300  41.64
2013-10-15  41.2  41.5  41.07  41.1  974500  41.1
2013-10-14  41.17  41.5  41.0  41.39  798700  41.39
2013-10-11  40.82  41.52  40.77  41.41  1452700  41.41
2013-10-10  40.51  40.9  40.33  40.9  1322900  40.9
2013-10-09  40.29  40.32  39.98  40.08  1277500  40.08
2013-10-08  40.44  40.57  40.14  40.17  1228400  40.17
2013-10-07  40.16  40.67  40.06  40.53  1407500  40.53
2013-10-04  40.3  40.57  40.17  40.47  1050300  40.47
2013-10-03  40.76  40.8  39.96  40.3  1419500  40.3
2013-10-02  41.07  41.07  40.57  40.89  1280200  40.89
2013-10-01  40.91  41.29  40.78  41.25  939700  41.25
2013-09-30  40.71  40.99  40.65  40.91  1309900  40.91
2013-09-27  41.16  41.23  40.8  41.06  1193700  41.06
2013-09-26  41.17  41.41  41.12  41.36  1463100  41.36
2013-09-25  41.22  41.36  41.0  41.04  1410500  41.04
2013-09-24  41.42  41.73  41.32  41.36  1450100  41.36
2013-09-23  41.67  41.87  41.39  41.52  1332300  41.52
2013-09-20  41.99  42.03  41.66  41.75  2216500  41.75
2013-09-19  41.91  42.14  41.8  41.93  1259400  41.93
2013-09-18  40.84  41.9  40.77  41.88  2229800  41.88
2013-09-17  41.07  41.14  40.57  40.86  1447000  40.86
2013-09-16  40.87  41.28  40.81  41.07  1196500  41.07
2013-09-13  40.68  40.75  40.44  40.56  1184200  40.56
2013-09-12  40.65  40.85  40.51  40.54  1282800  40.54
2013-09-11  40.39  40.66  40.24  40.58  1225700  40.58
2013-09-10  40.17  40.45  40.07  40.37  1174400  40.37
2013-09-09  39.72  40.04  39.7  40.02  1082400  40.02
2013-09-06  39.71  39.78  39.28  39.6  1639900  39.6
2013-09-05  39.68  39.83  39.51  39.53  2314000  39.53
2013-09-04  39.46  39.97  39.28  39.72  2334400  39.72
2013-09-03  40.18  40.26  39.22  39.47  2047100  39.47
2013-08-30  40.21  40.22  39.62  39.75  2003100  39.75
2013-08-29  40.3  40.53  40.13  40.22  1172400  40.22
2013-08-28  40.4  40.52  40.22  40.4  1206700  40.4
2013-08-27  40.89  41.09  40.45  40.47  2100600  40.47
2013-08-26  41.43  41.51  41.19  41.27  961300  41.27
2013-08-23  41.3  41.55  41.26  41.4  1164500  41.4
2013-08-22  40.93  41.46  40.89  41.18  1205300  41.18
2013-08-21  41.31  41.32  40.79  40.87  1415700  40.87
2013-08-20  41.02  41.66  40.83  41.4  1663800  41.4
2013-08-19  41.19  41.27  40.98  41.02  1265600  41.02
2013-08-16  41.02  41.36  41.0  41.22  1497000  41.22
2013-08-15  41.73  41.73  40.94  41.14  2937800  41.14
2013-08-14  42.78  42.78  42.3  42.39  1701000  42.39
2013-08-13  42.48  42.85  42.36  42.76  1601100  42.76
2013-08-12  42.45  42.74  42.29  42.44  1914900  42.44
2013-08-09  42.39  42.49  42.08  42.47  1280800  42.47
2013-08-08  42.12  42.5  42.04  42.36  1234100  42.36
2013-08-07  41.85  42.1  41.47  42.07  1697500  42.07
2013-08-06  41.93  42.04  41.8  41.91  1323400  41.91
2013-08-05  41.72  42.03  41.69  42.01  1445000  42.01
2013-08-02  41.82  42.0  41.53  41.88  1409700  41.88
2013-08-01  41.53  41.95  41.47  41.82  1490600  41.82
2013-07-31  41.17  41.6  41.08  41.32  1979800  41.32
2013-07-30  41.14  41.51  40.88  41.01  1606600  41.01
2013-07-29  41.33  41.39  41.06  41.14  1237500  41.14
2013-07-26  41.36  41.48  41.04  41.33  1504100  41.33
2013-07-25  41.41  41.69  41.3  41.63  1079700  41.63
2013-07-24  41.73  42.1  41.51  41.59  1449500  41.59
2013-07-23  41.64  41.71  41.4  41.71  1182600  41.71
2013-07-22  41.71  41.89  41.54  41.64  925100  41.64
2013-07-19  41.7  41.71  41.36  41.67  1196700  41.67
2013-07-18  41.38  41.77  41.35  41.6  1512600  41.6
2013-07-17  41.29  41.41  41.02  41.17  851300  41.17
