Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  41.42  41.69  41.08  41.3  5219300  41.3
2014-02-27  41.35  42.24  41.14  41.26  6072600  41.26
2014-02-26  41.65  41.69  40.74  41.22  7366700  41.22
2014-02-25  41.29  41.96  41.27  41.54  5145500  41.54
2014-02-24  42.31  42.37  41.59  41.77  7691600  41.77
2014-02-21  42.07  42.3  41.78  42.06  9407900  42.06
2014-02-20  40.6  42.47  40.44  42.0  13289300  42.0
2014-02-19  40.51  40.89  40.4  40.5  9630200  40.5
2014-02-18  41.03  41.15  40.45  40.54  8695000  40.54
2014-02-14  40.96  41.02  40.63  40.83  14015200  40.83
2014-02-13  40.59  41.31  40.32  40.85  14208000  40.85
2014-02-12  41.15  41.36  40.63  40.69  10733100  40.69
2014-02-11  40.93  41.9  40.83  41.76  9482200  41.76
2014-02-10  41.35  41.44  40.61  40.92  6808200  40.92
2014-02-07  41.28  41.54  41.0  41.42  11088000  41.42
2014-02-06  39.93  41.34  39.7  41.07  13595900  41.07
2014-02-05  39.94  40.41  39.49  39.85  17500200  39.85
2014-02-04  39.48  40.0  39.34  39.92  6240000  39.92
2014-02-03  40.49  40.76  39.29  39.33  6638400  39.33
2014-01-31  39.94  40.89  39.64  40.49  8390800  40.49
2014-01-30  39.89  40.27  39.8  40.15  7431600  40.15
2014-01-29  39.46  40.11  39.29  39.72  5999100  39.72
2014-01-28  38.9  39.95  38.9  39.8  5858500  39.8
2014-01-27  38.97  39.23  38.45  38.88  5885000  38.88
2014-01-24  39.02  39.2  38.53  38.97  7231400  38.97
2014-01-23  38.87  39.43  38.66  39.26  5460100  39.26
2014-01-22  39.51  39.58  38.73  38.96  5340200  38.96
2014-01-21  39.5  39.68  39.17  39.45  4329900  39.45
2014-01-17  39.46  39.48  38.97  39.22  7221300  39.22
2014-01-16  39.1  39.4  38.92  39.37  7425900  39.37
2014-01-15  39.29  39.32  38.94  39.11  6001200  39.11
2014-01-14  39.22  39.39  38.94  39.16  6162600  39.16
2014-01-13  39.2  39.59  38.95  39.04  9007900  39.04
2014-01-10  39.36  39.54  39.04  39.35  7248800  39.35
2014-01-09  39.36  39.86  38.85  39.25  9394100  39.25
2014-01-08  38.53  39.23  38.43  39.16  10443500  39.16
2014-01-07  38.24  39.04  38.17  39.01  8347700  39.01
2014-01-06  38.25  38.49  37.95  38.4  6996100  38.4
2014-01-03  38.25  38.39  37.77  38.03  4621500  38.03
2014-01-02  38.39  38.64  38.05  38.28  6257600  38.28
2013-12-31  38.49  38.68  38.33  38.57  6645100  38.57
2013-12-30  38.41  38.61  38.25  38.41  4259100  38.41
2013-12-27  38.23  38.4  37.76  38.3  4079000  38.3
2013-12-26  37.83  38.42  37.8  38.23  6959700  38.23
2013-12-24  37.54  37.77  37.53  37.7  3750300  37.7
2013-12-23  37.3  38.03  37.21  37.6  8121000  37.6
2013-12-20  37.01  37.3  36.83  37.01  8972100  37.01
2013-12-19  36.66  36.93  36.26  36.89  6595900  36.89
2013-12-18  36.81  37.07  36.09  36.65  11968900  36.65
2013-12-17  36.21  37.33  35.67  36.84  21486300  36.84
2013-12-16  34.53  35.45  34.4  35.33  12500200  35.33
2013-12-13  34.36  34.5  34.06  34.25  6821600  34.25
2013-12-12  34.41  34.5  33.98  34.36  7504200  34.36
2013-12-11  35.12  35.12  34.14  34.34  9694100  34.34
2013-12-10  35.46  35.52  34.93  35.1  5273900  35.1
2013-12-09  35.84  36.01  35.41  35.46  4440600  35.46
2013-12-06  36.11  36.25  35.68  35.82  5796700  35.82
2013-12-05  36.21  36.28  35.66  35.9  7099600  35.9
