Date  Open  High  Low  Close  Volume  Adj Close
2013-11-27  658.0  660.34  656.48  660.34  7400  660.34
2013-11-26  651.56  657.39  650.0  657.04  12000  657.04
2013-11-25  656.61  661.61  651.09  653.51  7800  653.51
2013-11-22  658.8  661.44  655.21  658.2  19600  658.2
2013-11-21  650.0  662.91  649.96  658.8  14200  658.8
2013-11-20  644.89  647.91  642.7  647.85  7200  647.85
2013-11-19  644.75  649.94  639.15  644.14  25000  644.14
2013-11-18  652.57  653.85  644.1  644.75  24000  644.75
2013-11-15  648.0  654.77  642.51  654.59  28200  654.59
2013-11-14  660.0  661.8  647.0  648.0  42100  648.0
2013-11-13  654.0  665.39  651.08  660.94  51200  660.94
2013-11-12  656.28  659.49  651.23  656.69  29700  656.69
2013-11-11  660.0  661.2  652.97  655.81  27200  655.81
2013-11-08  656.16  668.17  656.16  662.78  30200  662.78
2013-11-07  643.7  659.0  642.0  653.81  64700  653.81
2013-11-06  639.55  651.36  635.86  643.72  40600  643.72
2013-11-05  632.09  643.34  626.23  640.3  91500  640.3
2013-11-04  647.75  648.01  629.97  631.6  44800  631.6
2013-11-01  648.06  649.9  632.37  639.06  45800  639.06
2013-10-31  647.93  651.4  642.29  643.32  39900  643.32
2013-10-30  677.9  678.98  647.86  649.1  35300  649.1
2013-10-29  655.54  671.0  652.39  671.0  21100  671.0
2013-10-28  662.34  662.34  651.54  651.56  24400  651.56
2013-10-25  656.3  662.34  655.0  662.02  34300  662.02
2013-10-24  643.0  649.8  641.58  649.23  41600  649.23
2013-10-23  653.86  655.64  642.0  643.0  25600  643.0
2013-10-22  659.85  664.26  651.02  652.9  41100  652.9
2013-10-21  649.5  651.75  649.5  651.62  20800  651.62
2013-10-18  649.0  649.33  645.71  647.2  22200  647.2
2013-10-17  646.83  647.9  641.69  647.0  35800  647.0
2013-10-16  639.15  649.15  639.15  647.1  54500  647.1
2013-10-15  630.83  640.81  630.83  639.12  47600  639.12
2013-10-14  615.0  630.11  615.0  628.41  16000  628.41
2013-10-11  609.7  618.79  609.62  618.61  28300  618.61
2013-10-10  611.36  613.68  608.12  610.0  49100  610.0
2013-10-09  603.34  606.36  594.77  604.31  22700  604.31
2013-10-08  613.11  613.59  600.48  600.9  17100  600.9
2013-10-07  611.69  613.0  610.0  610.35  34400  610.35
2013-10-04  619.37  622.06  614.02  615.52  46000  615.52
2013-10-03  631.7  635.58  616.58  616.58  50300  616.58
2013-10-02  625.46  637.84  622.45  633.21  63600  633.21
2013-10-01  609.47  631.85  609.31  628.54  52300  628.54
2013-09-30  608.24  611.73  599.6  611.35  21600  611.35
2013-09-27  600.48  613.84  599.58  610.99  35200  610.99
2013-09-26  593.47  603.88  593.47  603.38  36300  603.38
2013-09-25  590.33  595.14  587.93  593.5  29400  593.5
2013-09-24  590.63  596.0  586.07  590.56  60000  590.56
2013-09-23  578.77  593.28  578.77  590.12  39300  590.12
2013-09-20  574.31  580.35  571.0  580.35  95900  580.35
