Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  29.55  29.65  29.32  29.51  5391600  29.51
2014-02-27  29.89  29.98  29.38  29.51  4603300  29.51
2014-02-26  29.78  30.07  29.7  29.85  3814400  29.85
2014-02-25  30.0  30.01  29.64  29.7  4589000  29.7
2014-02-24  29.97  30.21  29.96  29.99  3287000  29.99
2014-02-21  30.2  30.21  29.91  29.96  2989500  29.96
2014-02-20  30.13  30.38  30.07  30.23  2719500  30.23
2014-02-19  30.18  30.37  30.03  30.13  3485100  30.13
2014-02-18  30.22  30.33  30.08  30.29  2122700  30.29
2014-02-14  30.1  30.31  30.05  30.23  2158800  30.23
2014-02-13  29.89  30.23  29.86  30.17  2301600  30.17
2014-02-12  30.01  30.09  29.79  30.06  2673300  30.06
2014-02-11  29.75  30.02  29.62  29.97  2528200  29.97
2014-02-10  29.62  29.81  29.38  29.79  2944200  29.79
2014-02-07  29.42  29.68  29.13  29.66  3376600  29.66
2014-02-06  28.9  29.39  28.84  29.29  2923500  29.29
2014-02-05  29.11  29.12  28.63  28.86  5450700  28.86
2014-02-04  29.22  29.43  29.0  29.19  3551100  29.19
2014-02-03  29.66  29.89  28.97  29.17  4851600  29.17
2014-01-31  29.71  30.05  29.44  29.66  6995700  29.66
2014-01-30  30.52  30.66  30.35  30.54  2776700  30.54
2014-01-29  30.3  30.62  30.18  30.32  2868500  30.32
2014-01-28  30.23  30.82  30.22  30.5  3821600  30.5
2014-01-27  30.0  30.46  29.89  30.11  4263600  30.11
2014-01-24  30.19  30.4  29.94  29.97  4900300  29.97
2014-01-23  30.68  30.84  30.31  30.34  4261700  30.34
2014-01-22  30.94  31.13  30.83  30.88  2194200  30.88
2014-01-21  30.81  31.0  30.67  30.92  2417100  30.92
2014-01-17  31.0  31.02  30.67  30.74  2515700  30.74
2014-01-16  30.78  31.07  30.77  30.94  2552600  30.94
2014-01-15  30.76  30.98  30.61  30.82  2083300  30.82
