Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  242.06  244.0  239.5  242.49  1485400  242.49
2014-02-27  237.6  242.22  236.22  241.96  1448900  241.96
2014-02-26  235.86  240.03  234.46  236.89  1431800  236.89
2014-02-25  236.76  240.52  233.61  235.15  1688800  235.15
2014-02-24  229.57  236.61  229.19  235.59  1759100  235.59
2014-02-21  224.5  228.75  221.84  228.35  1790600  228.35
2014-02-20  220.95  225.92  220.94  223.5  1742800  223.5
2014-02-19  223.32  223.99  219.21  220.92  1520700  220.92
2014-02-18  222.21  225.86  221.51  224.1  1269800  224.1
2014-02-14  220.3  222.45  219.6  222.34  943300  222.34
2014-02-13  219.02  223.76  218.01  221.28  1550100  221.28
2014-02-12  224.89  226.0  220.0  221.12  1415200  221.12
2014-02-11  222.01  224.94  220.17  224.29  1631500  224.29
2014-02-10  220.93  223.36  220.1  221.12  1905000  221.12
2014-02-07  216.69  221.2  214.82  220.7  1663700  220.7
2014-02-06  211.68  216.28  209.81  215.48  1956900  215.48
2014-02-05  201.85  209.81  201.06  208.37  3297900  208.37
2014-02-04  210.32  212.96  207.14  212.35  2158900  212.35
2014-02-03  214.84  215.4  204.64  208.29  3341200  208.29
2014-01-31  204.12  218.68  203.16  216.2  4801300  216.2
2014-01-30  195.29  201.59  194.38  200.38  2480400  200.38
2014-01-29  194.46  195.43  192.03  192.78  1716800  192.78
2014-01-28  191.91  197.68  191.91  196.04  1595600  196.04
2014-01-27  193.97  194.69  187.97  190.75  2996300  190.75
2014-01-24  202.74  203.19  191.87  192.05  3080100  192.05
2014-01-23  205.34  205.74  202.58  204.11  1758400  204.11
2014-01-22  208.25  208.33  204.88  207.62  1767000  207.62
2014-01-21  215.35  215.77  208.8  211.08  1815600  211.08
2014-01-17  208.11  214.78  208.11  214.49  1706000  214.49
2014-01-16  207.89  208.94  206.67  208.91  904400  208.91
2014-01-15  206.73  209.23  205.93  208.92  1025100  208.92
2014-01-14  202.79  206.77  201.4  206.43  1587500  206.43
2014-01-13  204.95  208.56  202.22  202.33  1618900  202.33
2014-01-10  203.2  206.08  201.13  205.7  1151000  205.7
2014-01-09  204.59  205.33  202.01  203.62  1228300  203.62
2014-01-08  201.53  204.25  200.24  204.14  1406000  204.14
2014-01-07  195.55  201.74  195.55  200.38  1686500  200.38
2014-01-06  197.18  197.72  194.1  194.76  1289100  194.76
2014-01-03  197.04  197.63  194.02  194.9  1169400  194.9
2014-01-02  193.05  198.76  192.04  196.83  3054800  196.83
2013-12-31  192.22  193.44  190.75  193.12  731500  193.12
2013-12-30  189.75  193.29  189.62  192.2  1948600  192.2
2013-12-27  190.13  190.82  188.96  190.17  587500  190.17
2013-12-26  188.29  190.51  187.75  189.97  692400  189.97
2013-12-24  184.95  189.73  184.14  188.19  862500  188.19
2013-12-23  185.6  185.6  182.98  184.11  801700  184.11
2013-12-20  184.97  185.03  180.87  184.31  1534600  184.31
2013-12-19  186.3  186.3  182.03  184.07  1047300  184.07
2013-12-18  182.5  185.91  180.48  185.62  1145500  185.62
2013-12-17  182.2  182.97  179.82  181.45  1061700  181.45
2013-12-16  182.02  184.37  180.22  181.79  1282500  181.79
2013-12-13  180.0  181.24  178.91  180.74  968600  180.74
2013-12-12  179.82  181.38  177.48  178.48  1277800  178.48
2013-12-11  180.22  182.4  179.0  179.68  1598900  179.68
2013-12-10  177.48  180.74  175.42  180.13  1742100  180.13
2013-12-09  172.53  178.12  172.53  177.53  2595100  177.53
2013-12-06  172.03  173.03  168.77  172.19  1383800  172.19
2013-12-05  166.73  171.9  166.16  170.45  1694200  170.45
2013-12-04  161.81  168.04  161.22  166.84  1568600  166.84
2013-12-03  163.08  164.44  160.97  162.39  1287300  162.39
2013-12-02  164.64  166.43  163.19  163.81  750100  163.81
2013-11-29  164.92  166.47  164.03  164.94  565500  164.94
2013-11-27  163.27  165.52  162.58  164.63  617600  164.63
2013-11-26  162.8  163.91  162.1  163.08  544200  163.08
2013-11-25  162.23  163.68  161.98  162.75  638600  162.75
2013-11-22  162.65  163.1  160.22  161.54  717900  161.54
2013-11-21  159.07  164.07  158.42  162.61  2878200  162.61
2013-11-20  159.57  160.06  156.6  157.5  780100  157.5
2013-11-19  162.28  162.89  157.26  158.31  1396500  158.31
2013-11-18  163.62  165.7  162.08  162.67  905100  162.67
2013-11-15  164.54  165.66  161.7  162.47  1411200  162.47
2013-11-14  166.11  166.3  163.81  164.54  712100  164.54
2013-11-13  161.85  166.23  161.7  166.2  1024100  166.2
2013-11-12  160.94  163.7  160.53  163.44  2799100  163.44
2013-11-11  160.12  162.26  159.11  161.14  725200  161.14
2013-11-08  156.09  160.37  156.09  159.85  2471800  159.85
2013-11-07  161.16  161.45  155.61  155.75  2622700  155.75
2013-11-06  162.82  162.96  159.57  160.51  1270000  160.51
2013-11-05  161.11  162.46  160.67  161.31  1092500  161.31
2013-11-04  162.94  163.42  161.04  161.59  1035200  161.59
2013-11-01  162.05  163.01  161.53  162.77  816300  162.77
2013-10-31  163.62  164.54  160.76  161.36  1056800  161.36
2013-10-30  164.99  166.91  163.06  164.56  918900  164.56
2013-10-29  163.92  163.92  161.85  163.83  740900  163.83
2013-10-28  163.14  163.92  160.64  163.45  1176000  163.45
2013-10-25  163.11  163.94  158.98  163.23  2638600  163.23
2013-10-24  162.83  168.13  161.99  167.77  1506800  167.77
2013-10-23  164.68  165.18  161.3  161.56  1467600  161.56
2013-10-22  168.05  168.28  163.36  164.99  1727100  164.99
2013-10-21  167.36  168.24  166.58  168.04  908700  168.04
2013-10-18  166.17  167.67  165.14  166.86  1007200  166.86
2013-10-17  163.45  164.85  162.2  164.48  992000  164.48
2013-10-16  163.25  165.76  162.44  163.62  995700  163.62
2013-10-15  162.82  165.15  161.31  162.28  1707300  162.28
2013-10-14  160.87  162.87  159.81  162.23  882000  162.23
2013-10-11  157.54  161.88  157.54  161.71  1147900  161.71
2013-10-10  154.32  158.84  154.32  157.57  1326600  157.57
2013-10-09  153.73  154.27  151.19  153.09  1309100  153.09
2013-10-08  155.0  156.78  152.18  152.59  1538100  152.59
2013-10-07  154.35  155.86  153.49  154.36  1109500  154.36
2013-10-04  154.43  156.32  154.14  155.47  996400  155.47
2013-10-03  157.0  157.55  154.43  155.93  2177700  155.93
2013-10-02  154.59  156.86  154.16  156.6  940300  156.6
2013-10-01  153.17  155.44  153.1  155.36  1675300  155.36
2013-09-30  151.82  154.21  150.82  153.36  1074200  153.36
2013-09-27  154.34  154.55  152.68  153.35  788200  153.35
2013-09-26  153.36  155.15  153.25  155.04  1101100  155.04
2013-09-25  152.11  153.47  150.56  152.97  1609200  152.97
2013-09-24  150.03  152.86  149.82  151.53  692800  151.53
2013-09-23  150.48  151.06  149.67  150.47  836600  150.47
2013-09-20  150.43  151.28  149.34  150.65  1391600  150.65
2013-09-19  149.27  150.44  148.3  150.01  917900  150.01
2013-09-18  145.99  148.96  145.67  148.53  1110900  148.53
2013-09-17  146.01  147.73  145.88  146.33  764800  146.33
2013-09-16  147.42  148.12  145.31  145.57  879700  145.57
2013-09-13  145.69  146.38  144.52  145.93  464400  145.93
2013-09-12  146.8  146.8  144.37  145.25  543400  145.25
