Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  24.35  24.66  24.03  24.22  5855600  24.22
2014-02-27  24.32  24.63  24.27  24.55  4871900  24.55
2014-02-26  23.77  24.34  23.41  24.22  7094300  24.22
2014-02-25  24.05  24.1  23.32  23.7  10221200  23.7
2014-02-24  24.66  24.79  24.08  24.16  8846900  24.16
2014-02-21  25.09  25.38  24.72  25.0  6173300  25.0
2014-02-20  24.71  25.24  24.7  25.11  7668200  25.11
2014-02-19  25.18  25.4  24.56  24.86  17623100  24.86
2014-02-18  27.3  27.31  26.72  26.74  5005700  26.74
2014-02-14  26.68  27.31  26.34  27.23  7033100  27.23
2014-02-13  25.89  26.6  25.75  26.57  4690500  26.57
2014-02-12  26.38  26.71  25.8  26.11  6322600  26.11
2014-02-11  25.06  26.25  24.97  26.13  9047700  26.13
2014-02-10  25.41  26.06  25.22  25.59  5702300  25.59
2014-02-07  25.9  26.14  25.06  25.54  6909300  25.54
2014-02-06  24.84  25.49  24.78  25.47  5118400  25.47
2014-02-05  25.15  25.2  24.42  24.77  9585400  24.77
2014-02-04  25.05  25.31  24.92  25.13  4699200  25.13
2014-02-03  26.1  26.17  24.57  25.01  9674800  25.01
2014-01-31  25.95  26.53  25.65  26.06  6746400  26.06
2014-01-30  25.88  26.34  25.44  26.18  8530600  26.18
2014-01-29  25.1  26.09  24.85  25.6  11409000  25.6
2014-01-28  26.05  26.36  24.66  25.29  17827300  25.29
2014-01-27  25.27  25.69  24.41  25.4  13142300  25.4
2014-01-24  26.0  26.0  25.13  25.23  8997900  25.23
2014-01-23  26.37  26.57  26.01  26.29  5763500  26.29
2014-01-22  26.69  26.88  26.31  26.49  6852100  26.49
2014-01-21  27.5  27.55  26.56  26.63  9794300  26.63
2014-01-17  28.27  28.55  27.23  27.37  8850100  27.37
2014-01-16  28.79  28.99  28.11  28.27  6323200  28.27
2014-01-15  29.09  29.41  28.56  28.67  6803400  28.67
2014-01-14  28.32  29.18  28.31  29.12  7707000  29.12
2014-01-13  28.58  28.8  27.7  27.88  5475100  27.88
2014-01-10  28.17  28.76  27.88  28.5  5761400  28.5
2014-01-09  29.72  29.72  28.03  28.24  9589700  28.24
2014-01-08  29.34  29.77  29.05  29.54  4856300  29.54
2014-01-07  29.57  29.74  29.26  29.38  4729100  29.38
2014-01-06  29.67  29.84  29.18  29.51  5616000  29.51
2014-01-03  30.04  30.35  29.69  29.84  5317100  29.84
2014-01-02  29.91  31.09  29.86  30.22  11902400  30.22
2013-12-31  29.46  29.83  29.25  29.44  4658600  29.44
2013-12-30  30.26  30.41  29.31  29.46  5967700  29.46
2013-12-27  29.44  30.1  29.38  30.03  5534000  30.03
2013-12-26  29.47  29.86  29.34  29.37  4277600  29.37
2013-12-24  28.98  29.79  28.94  29.44  4682900  29.44
2013-12-23  27.99  29.07  27.94  28.99  7640000  28.99
2013-12-20  28.67  28.7  27.9  27.9  6693900  27.9
2013-12-19  27.59  28.71  27.58  28.58  11058300  28.58
2013-12-18  27.06  27.32  26.51  27.17  5801800  27.17
2013-12-17  26.97  27.35  26.94  27.1  5721700  27.1
2013-12-16  27.33  27.43  26.83  27.06  6609800  27.06
2013-12-13  26.93  27.45  26.75  27.26  7049300  27.26
2013-12-12  26.32  26.56  25.97  26.46  4367500  26.46
2013-12-11  27.05  27.09  26.15  26.22  5895400  26.22
2013-12-10  26.7  27.24  26.7  27.03  5294400  27.03
2013-12-09  26.28  26.92  26.27  26.77  4922900  26.77
2013-12-06  27.27  27.4  26.18  26.28  7000700  26.28
2013-12-05  26.98  27.19  26.71  26.9  5759900  26.9
2013-12-04  26.58  27.1  26.53  27.01  6407900  27.01
2013-12-03  25.81  26.88  25.74  26.64  6950300  26.64
2013-12-02  26.66  26.83  26.09  26.11  5846600  26.11
