Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  29.97  30.43  29.97  30.4  2484400  30.4
2014-02-27  29.77  30.08  29.72  29.95  1696700  29.95
2014-02-26  29.65  29.87  29.48  29.82  2247900  29.82
2014-02-25  29.67  29.74  29.43  29.57  1741900  29.57
2014-02-24  29.43  29.87  29.37  29.73  1982000  29.73
2014-02-21  29.4  29.53  29.16  29.44  1750400  29.44
2014-02-20  29.16  29.37  28.93  29.3  1019400  29.3
2014-02-19  29.28  29.55  29.06  29.09  1233500  29.09
2014-02-18  29.31  29.5  29.29  29.41  1405800  29.41
2014-02-14  28.81  29.3  28.8  29.23  1751200  29.23
2014-02-13  28.65  28.92  28.58  28.88  2938600  28.88
2014-02-12  29.12  29.15  28.85  29.0  2452000  29.0
2014-02-11  28.98  29.4  28.88  29.32  1894000  29.32
2014-02-10  28.78  29.02  28.7  28.98  1616900  28.98
2014-02-07  28.69  28.9  28.42  28.87  1721300  28.87
2014-02-06  28.11  28.6  28.07  28.56  2263300  28.56
2014-02-05  27.96  28.15  27.79  27.96  2613100  27.96
2014-02-04  28.16  28.28  27.93  28.06  2023600  28.06
2014-02-03  28.74  28.75  27.92  28.0  2449000  28.0
2014-01-31  28.83  29.06  28.67  28.74  1410200  28.74
2014-01-30  29.11  29.35  28.96  29.27  1224500  29.27
2014-01-29  29.2  29.38  28.81  28.86  2338900  28.86
2014-01-28  28.67  29.55  28.66  29.49  3090200  29.49
2014-01-27  28.85  28.94  28.43  28.61  3373800  28.61
2014-01-24  29.45  29.5  28.76  28.81  4069100  28.81
2014-01-23  30.21  30.21  29.72  29.75  2707400  29.75
2014-01-22  30.25  30.39  30.11  30.34  1727000  30.34
2014-01-21  30.05  30.23  29.9  30.22  2117300  30.22
2014-01-17  29.97  29.97  29.82  29.94  2083300  29.94
2014-01-16  29.89  30.03  29.71  29.98  2133900  29.98
2014-01-15  30.18  30.25  29.94  29.95  2083900  29.95
2014-01-14  29.94  30.22  29.92  30.13  1787000  30.13
2014-01-13  30.3  30.41  29.83  29.86  2169100  29.86
2014-01-10  30.43  30.56  30.29  30.42  1631400  30.42
2014-01-09  30.46  30.51  30.29  30.4  1807200  30.4
2014-01-08  30.37  30.39  30.22  30.39  3031500  30.39
2014-01-07  30.48  30.7  30.19  30.37  2823400  30.37
2014-01-06  30.84  31.02  30.34  30.37  3095300  30.37
2014-01-03  31.28  31.39  30.78  30.81  2512500  30.81
2014-01-02  31.71  31.85  31.22  31.25  2027700  31.25
2013-12-31  31.97  32.03  31.79  31.84  1152700  31.84
2013-12-30  31.73  31.98  31.73  31.89  997000  31.89
2013-12-27  31.74  31.82  31.59  31.69  700100  31.69
2013-12-26  31.67  31.79  31.62  31.7  715900  31.7
2013-12-24  31.33  31.56  31.33  31.54  389100  31.54
2013-12-23  31.29  31.41  31.24  31.34  1677200  31.34
2013-12-20  30.77  31.12  30.77  31.1  2592000  31.1
2013-12-19  30.52  30.84  30.5  30.74  1739700  30.74
2013-12-18  30.07  30.62  30.04  30.59  2576000  30.59
2013-12-17  29.9  30.21  29.84  30.05  2124000  30.05
2013-12-16  29.83  29.94  29.65  29.88  3378700  29.88
2013-12-13  30.0  30.01  29.62  29.65  1959400  29.65
2013-12-12  30.0  30.18  29.91  29.91  1714700  29.91
2013-12-11  30.62  30.67  30.0  30.04  2814100  30.04
