Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  45.52  45.68  45.01  45.38  1372700  45.38
2014-02-27  45.25  45.46  45.2  45.39  1444500  45.39
2014-02-26  45.31  45.65  45.08  45.16  1131900  45.16
2014-02-25  45.04  45.51  44.96  45.29  1310400  45.29
2014-02-24  45.17  45.52  44.97  45.11  1180400  45.11
2014-02-21  45.45  45.76  44.98  45.0  2210400  45.0
2014-02-20  44.98  45.52  44.6  45.47  895700  45.47
2014-02-19  45.17  45.52  44.55  44.69  1305200  44.69
2014-02-18  43.0  45.92  43.0  45.69  2367300  45.69
2014-02-14  46.01  46.67  45.81  46.24  1679500  46.24
2014-02-13  45.64  46.45  45.29  45.99  1119700  45.99
2014-02-12  46.2  46.61  45.87  45.97  1014700  45.97
2014-02-11  45.71  46.44  45.42  46.28  818000  46.28
2014-02-10  45.68  45.9  45.38  45.83  1062100  45.83
2014-02-07  45.45  45.73  45.22  45.61  911300  45.61
2014-02-06  45.01  45.39  44.7  45.32  928100  45.32
2014-02-05  44.72  45.16  44.46  44.98  592100  44.98
2014-02-04  45.17  45.19  44.58  44.92  1164100  44.92
2014-02-03  46.2  46.34  44.91  44.95  1195000  44.95
2014-01-31  46.03  46.24  45.7  46.14  714600  46.14
2014-01-30  46.31  46.81  46.1  46.6  809000  46.6
2014-01-29  45.86  46.4  45.72  46.05  666200  46.05
2014-01-28  45.75  46.47  45.34  46.19  1141200  46.19
2014-01-27  43.8  46.1  42.99  45.86  1145100  45.86
2014-01-24  46.76  46.91  45.83  45.84  1520900  45.84
2014-01-23  47.42  48.04  46.91  47.03  1360800  47.03
2014-01-22  47.93  48.39  47.62  47.78  736400  47.78
2014-01-21  48.32  48.72  47.96  48.02  1012600  48.02
2014-01-17  48.34  48.34  47.85  47.9  1008000  47.9
2014-01-16  48.14  48.38  48.03  48.26  1046200  48.26
2014-01-15  48.86  48.88  48.29  48.31  957900  48.31
2014-01-14  48.48  48.86  48.33  48.73  607600  48.73
2014-01-13  48.95  49.0  48.23  48.31  729700  48.31
2014-01-10  48.88  49.13  48.73  48.95  2028500  48.95
2014-01-09  48.67  48.95  48.57  48.91  628000  48.91
2014-01-08  48.75  48.98  48.57  48.73  801600  48.73
2014-01-07  48.05  48.74  48.01  48.64  2218300  48.64
2014-01-06  48.32  48.44  47.74  47.9  986700  47.9
2014-01-03  48.24  48.43  47.96  48.19  623300  48.19
2014-01-02  47.94  48.31  47.78  47.96  1025400  47.96
2013-12-31  48.55  48.69  48.32  48.48  434400  48.48
2013-12-30  48.49  48.5  48.32  48.47  287500  48.47
2013-12-27  48.7  48.7  48.26  48.34  511800  48.34
2013-12-26  48.77  48.96  48.49  48.55  464700  48.55
2013-12-24  48.96  49.07  48.54  48.74  354600  48.74
2013-12-23  48.47  48.93  48.24  48.8  753800  48.8
2013-12-20  48.4  48.55  47.96  48.37  5960900  48.37
2013-12-19  47.93  48.41  47.56  48.27  882900  48.27
2013-12-18  47.51  48.16  47.04  48.15  804800  48.15
2013-12-17  47.58  47.75  47.11  47.4  677800  47.4
2013-12-16  47.91  48.17  47.41  47.61  871200  47.61
2013-12-13  48.35  48.55  47.74  47.78  822400  47.78
2013-12-12  48.41  48.54  47.87  48.18  1286900  48.18
2013-12-11  48.44  50.93  48.3  48.43  2004000  48.43
2013-12-10  47.43  48.12  47.38  48.01  707300  48.01
2013-12-09  47.81  47.99  47.46  47.51  602900  47.51
2013-12-06  47.44  48.02  47.18  47.81  751600  47.81
2013-12-05  47.2  47.42  46.77  46.88  803000  46.88
2013-12-04  46.9  47.6  46.8  47.22  753100  47.22
2013-12-03  47.25  47.26  46.95  47.16  765500  47.16
2013-12-02  47.5  47.57  47.22  47.32  590100  47.32
2013-11-29  47.61  47.73  47.36  47.5  255200  47.5
2013-11-27  47.86  47.95  47.5  47.63  352800  47.63
2013-11-26  47.82  47.96  47.54  47.66  629600  47.66
2013-11-25  47.99  48.07  47.69  47.78  434800  47.78
2013-11-22  47.77  47.92  47.59  47.79  615200  47.79
2013-11-21  48.08  48.11  47.7  47.8  887000  47.8
2013-11-20  48.11  48.27  47.66  47.77  575400  47.77
2013-11-19  48.5  48.87  47.79  48.09  781900  48.09
2013-11-18  48.66  48.91  48.23  48.43  533400  48.43
2013-11-15  48.54  48.91  48.29  48.56  658800  48.56
2013-11-14  48.19  48.59  48.02  48.49  625500  48.49
2013-11-13  47.84  48.06  47.49  48.04  772400  48.04
2013-11-12  47.29  48.1  47.29  47.94  761200  47.94
2013-11-11  47.59  47.85  47.38  47.53  680500  47.53
2013-11-08  47.05  47.77  47.0  47.75  801300  47.75
2013-11-07  47.55  47.63  47.07  47.09  682500  47.09
2013-11-06  47.14  47.47  46.96  47.27  440900  47.27
2013-11-05  47.24  47.38  46.92  47.08  552300  47.08
2013-11-04  47.11  47.42  47.06  47.39  769200  47.39
2013-11-01  47.24  47.37  46.75  47.09  784100  47.09
2013-10-31  46.75  47.17  46.49  47.05  882000  47.05
2013-10-30  45.8  46.93  45.65  46.72  1027700  46.72
2013-10-29  44.94  45.7  44.57  45.65  1345700  45.65
