Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  10.99  11.09  10.88  10.99  11799600  10.99
2014-02-27  10.71  11.09  10.71  11.0  14255700  11.0
2014-02-26  10.7  10.89  10.62  10.75  13006000  10.75
2014-02-25  10.76  10.86  10.65  10.67  10813100  10.67
2014-02-24  10.75  10.85  10.72  10.78  9069000  10.78
2014-02-21  10.75  10.81  10.72  10.74  10563900  10.74
2014-02-20  10.71  10.8  10.56  10.74  11321800  10.74
2014-02-19  10.7  10.85  10.66  10.68  11100400  10.68
2014-02-18  10.75  10.88  10.71  10.72  10638600  10.72
2014-02-14  10.76  10.83  10.71  10.72  10366800  10.72
2014-02-13  10.64  10.81  10.61  10.79  12122300  10.79
2014-02-12  10.59  10.69  10.56  10.66  13925000  10.66
2014-02-11  10.38  10.66  10.37  10.57  21942000  10.57
2014-02-10  10.39  10.45  10.35  10.4  22726600  10.4
2014-02-07  10.39  10.49  10.36  10.41  24234800  10.41
2014-02-06  10.33  10.42  10.3  10.35  17432400  10.35
2014-02-05  10.36  10.44  10.26  10.3  12544200  10.3
2014-02-04  10.42  10.46  10.31  10.38  15979400  10.38
2014-02-03  10.88  10.93  10.36  10.41  20896100  10.41
2014-01-31  11.01  11.12  10.79  10.85  28771500  10.85
2014-01-30  10.67  11.1  10.66  11.05  25426100  11.05
2014-01-29  10.76  10.87  10.57  10.61  18259100  10.61
2014-01-28  10.78  10.93  10.73  10.88  21782200  10.88
2014-01-27  11.1  11.12  10.56  10.61  25104900  10.61
2014-01-24  11.54  11.69  11.08  11.24  35529500  11.24
2014-01-23  11.97  12.0  11.67  11.76  23361800  11.76
2014-01-22  12.2  12.3  11.98  12.06  15029800  12.06
2014-01-21  12.27  12.34  12.11  12.14  8009400  12.14
2014-01-17  12.42  12.44  12.16  12.2  8543400  12.2
2014-01-16  12.39  12.65  12.39  12.44  12245800  12.44
2014-01-15  12.25  12.45  12.25  12.39  6823600  12.39
2014-01-14  12.19  12.28  12.09  12.26  8325600  12.26
2014-01-13  11.99  12.29  11.96  12.21  24327200  12.21
2014-01-10  12.06  12.07  11.94  11.99  4790400  11.99
