Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  73.83  74.34  73.4  74.08  2375500  74.08
2014-02-27  73.39  74.17  73.38  73.79  2142400  73.79
2014-02-26  73.35  73.74  73.04  73.39  2520700  73.39
2014-02-25  73.0  73.8  72.52  73.28  2259000  73.28
2014-02-24  72.87  73.4  72.74  72.97  1799600  72.97
2014-02-21  72.94  73.22  72.37  72.85  2099800  72.85
2014-02-20  72.9  73.32  72.45  72.98  1986200  72.98
2014-02-19  73.54  74.06  72.77  72.82  2245400  72.82
2014-02-18  73.4  73.74  72.97  73.24  2810500  73.24
2014-02-14  73.5  73.9  73.1  73.42  2894100  73.42
2014-02-13  73.05  73.89  72.86  73.82  2212800  73.82
2014-02-12  73.34  73.76  73.23  73.51  3034100  73.51
2014-02-11  72.95  73.63  72.7  73.21  3586400  73.21
2014-02-10  72.0  72.8  71.67  72.76  3632300  72.76
2014-02-07  71.59  72.44  71.45  71.73  2850500  71.73
2014-02-06  70.69  71.86  70.55  71.17  3405400  71.17
2014-02-05  71.75  71.75  69.84  70.54  5688000  70.54
2014-02-04  71.59  72.58  70.55  72.06  14147200  72.06
2014-02-03  67.36  68.06  65.84  66.16  6752200  66.16
2014-01-31  66.13  67.59  65.83  67.15  5387300  67.15
2014-01-30  66.85  66.98  66.17  66.6  4370800  66.6
2014-01-29  67.75  67.92  65.87  66.51  6878700  66.51
2014-01-28  68.09  68.6  67.85  68.2  3121300  68.2
2014-01-27  68.79  68.91  67.06  67.84  4665400  67.84
2014-01-24  69.32  69.78  68.82  68.82  4187500  68.82
2014-01-23  70.54  70.68  69.32  69.8  4642700  69.8
2014-01-22  71.62  71.92  71.11  71.34  3162000  71.34
2014-01-21  72.71  72.86  70.99  71.15  3653100  71.15
2014-01-17  72.43  72.66  71.87  72.1  3712500  72.1
2014-01-16  73.25  73.83  72.25  72.3  3788300  72.3
2014-01-15  73.24  73.8  72.98  73.17  3164800  73.17
2014-01-14  73.15  73.76  72.78  72.86  4471300  72.86
2014-01-13  74.63  74.74  72.95  73.04  3475800  73.04
2014-01-10  75.02  75.53  74.38  74.64  2582200  74.64
2014-01-09  74.53  75.12  74.37  74.67  3773100  74.67
2014-01-08  76.29  76.94  75.82  76.14  4448600  76.14
