Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  30.86  31.41  30.54  31.2  2727600  31.2
2014-02-27  30.47  30.8  30.32  30.79  1237600  30.79
2014-02-26  30.25  30.64  30.17  30.53  1769500  30.53
2014-02-25  30.33  30.34  29.96  30.26  1179500  30.26
2014-02-24  29.91  30.56  29.89  30.29  2027200  30.29
2014-02-21  29.84  30.13  29.74  29.91  2357400  29.91
2014-02-20  30.16  30.21  29.71  29.83  2255700  29.83
2014-02-19  30.84  30.87  30.06  30.12  2595600  30.12
2014-02-18  31.0  31.24  30.82  30.92  1872400  30.92
2014-02-14  30.65  31.11  30.41  30.86  2409300  30.86
2014-02-13  29.87  30.37  29.56  30.29  2271400  30.29
2014-02-12  29.9  30.45  29.83  30.06  2267800  30.06
2014-02-11  29.49  29.93  29.23  29.88  1566900  29.88
2014-02-10  29.56  29.6  29.11  29.52  2096500  29.52
2014-02-07  29.16  29.43  28.78  28.89  2027700  28.89
2014-02-06  28.71  29.09  28.57  29.0  1274000  29.0
2014-02-05  28.96  28.98  28.3  28.69  3457200  28.69
2014-02-04  27.97  28.92  27.93  28.54  3035600  28.54
2014-02-03  28.55  28.77  27.78  27.87  2743700  27.87
2014-01-31  28.96  29.15  28.68  28.71  2373000  28.71
2014-01-30  29.33  29.43  29.0  29.31  1624600  29.31
2014-01-29  29.32  29.54  29.09  29.14  3114800  29.14
2014-01-28  29.38  30.03  29.38  29.72  3586200  29.72
2014-01-27  30.34  30.5  29.76  29.89  3128100  29.89
2014-01-24  30.92  31.03  30.18  30.19  2511300  30.19
2014-01-23  31.55  31.79  30.83  31.12  2885400  31.12
2014-01-22  31.72  32.25  31.51  31.74  3902600  31.74
2014-01-21  30.36  31.77  30.32  31.43  5442900  31.43
2014-01-17  29.87  30.33  29.58  30.12  1489600  30.12
2014-01-16  30.04  30.04  29.63  29.78  1132200  29.78
2014-01-15  29.86  30.18  29.74  30.14  1976500  30.14
2014-01-14  29.68  29.76  29.29  29.63  1743100  29.63
2014-01-13  29.86  29.99  29.49  29.61  1582900  29.61
2014-01-10  30.1  30.14  29.8  30.02  1576900  30.02
2014-01-09  30.11  30.41  29.99  30.18  1800700  30.18
2014-01-08  29.66  29.96  29.55  29.96  2034700  29.96
2014-01-07  29.84  29.94  29.53  29.7  1343200  29.7
2014-01-06  29.91  30.09  29.54  29.61  1988200  29.61
2014-01-03  29.7  29.87  29.13  29.82  1122500  29.82
2014-01-02  29.86  29.94  29.58  29.61  1356700  29.61
2013-12-31  29.89  30.09  29.72  29.92  1077400  29.92
2013-12-30  29.84  29.93  29.69  29.81  895300  29.81
2013-12-27  29.68  29.95  29.61  29.75  808300  29.75
2013-12-26  29.83  29.9  29.5  29.8  893100  29.8
2013-12-24  29.75  29.9  29.63  29.8  672200  29.8
2013-12-23  29.32  29.74  29.19  29.68  1437500  29.68
2013-12-20  29.63  29.63  29.08  29.18  3550400  29.18
2013-12-19  28.43  29.25  28.43  29.18  2651500  29.18
2013-12-18  28.11  28.88  27.92  28.78  4911700  28.78
2013-12-17  28.24  28.4  27.88  28.03  2732900  28.03
2013-12-16  28.12  28.64  27.94  28.52  5203100  28.52
2013-12-13  28.78  29.02  28.39  28.43  1520600  28.43
2013-12-12  28.43  29.11  28.28  28.74  2391900  28.74
2013-12-11  29.15  29.32  28.43  28.48  2200600  28.48
2013-12-10  29.57  29.96  29.2  29.26  2705700  29.26
2013-12-09  29.73  29.93  29.57  29.63  2087400  29.63
2013-12-06  29.53  29.73  29.35  29.69  1294700  29.69
2013-12-05  29.12  29.46  28.95  29.12  1252500  29.12
2013-12-04  28.79  29.43  28.69  29.22  1358900  29.22
2013-12-03  29.02  29.2  28.59  28.84  1629900  28.84
2013-12-02  29.3  29.86  29.12  29.16  2019400  29.16
2013-11-29  29.51  29.55  29.25  29.29  425700  29.29
2013-11-27  29.14  29.55  29.07  29.45  1565900  29.45
2013-11-26  29.42  29.67  28.98  29.1  2271800  29.1
2013-11-25  29.53  29.69  29.32  29.41  1001900  29.41
2013-11-22  29.13  29.35  28.79  29.35  1391400  29.35
2013-11-21  28.46  29.18  28.27  29.04  1641700  29.04
2013-11-20  28.18  28.52  28.01  28.23  2468800  28.23
2013-11-19  28.08  28.54  27.53  28.13  2785500  28.13
2013-11-18  29.22  29.42  28.73  28.79  1293900  28.79
2013-11-15  29.35  29.39  28.83  29.12  1496600  29.12
2013-11-14  29.06  29.12  28.65  29.04  1299300  29.04
2013-11-13  28.66  28.91  28.44  28.91  1478200  28.91
2013-11-12  29.03  29.2  28.67  28.81  1071800  28.81
2013-11-11  29.63  29.8  29.02  29.13  1878300  29.13
2013-11-08  28.05  29.59  27.99  29.56  2271100  29.56
2013-11-07  28.8  29.06  28.14  28.16  2285900  28.16
2013-11-06  28.62  28.83  28.48  28.78  1528200  28.78
2013-11-05  28.16  28.63  28.13  28.61  2419500  28.61
2013-11-04  28.4  28.55  28.3  28.32  1313600  28.32
2013-11-01  28.38  28.59  28.25  28.34  1563900  28.34
2013-10-31  28.29  28.49  28.16  28.32  1798500  28.32
2013-10-30  28.35  28.56  28.33  28.35  1557100  28.35
2013-10-29  28.64  28.65  28.18  28.36  2092400  28.36
2013-10-28  28.42  28.64  28.24  28.51  1981600  28.51
2013-10-25  28.45  28.7  28.34  28.43  2070400  28.43
2013-10-24  28.12  28.43  27.93  28.39  2633100  28.39
2013-10-23  27.57  28.06  27.44  28.05  4293300  28.05
2013-10-22  28.02  28.43  27.29  27.79  10691200  27.79
2013-10-21  29.96  29.99  29.61  29.78  2533500  29.78
2013-10-18  29.35  29.97  28.94  29.83  2531200  29.83
2013-10-17  28.7  29.3  28.57  29.19  1731100  29.19
2013-10-16  28.51  29.11  28.36  28.94  1649500  28.94
2013-10-15  28.34  28.71  28.12  28.37  2679600  28.37
2013-10-14  27.98  28.54  27.58  28.46  1456800  28.46
2013-10-11  27.5  28.36  27.35  28.24  2529100  28.24
