Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  95.47  95.77  93.45  93.84  1780400  93.84
2014-02-27  95.12  95.49  94.51  95.25  737500  95.25
2014-02-26  95.12  95.69  94.93  95.2  902500  95.2
2014-02-25  95.29  96.17  94.74  95.08  1064500  95.08
2014-02-24  95.51  96.49  95.51  95.59  749800  95.59
2014-02-21  95.17  96.14  94.76  95.4  1323700  95.4
2014-02-20  94.98  95.51  94.45  95.3  1821700  95.3
2014-02-19  95.73  96.37  94.67  94.7  1269500  94.7
2014-02-18  96.35  96.85  95.84  96.0  1261500  96.0
2014-02-14  96.15  96.57  95.52  96.07  971500  96.07
2014-02-13  94.91  96.21  94.75  96.12  898900  96.12
2014-02-12  95.55  95.99  94.45  95.4  989200  95.4
2014-02-11  95.27  95.86  94.92  95.74  1091400  95.74
2014-02-10  94.08  95.69  94.08  95.55  1368800  95.55
2014-02-07  92.81  94.63  92.65  94.49  1170600  94.49
2014-02-06  92.03  92.75  91.87  92.55  883600  92.55
2014-02-05  91.01  92.51  90.78  92.18  1190300  92.18
2014-02-04  91.33  91.78  90.8  91.32  1142400  91.32
2014-02-03  94.0  94.19  90.77  90.87  1181200  90.87
2014-01-31  93.49  94.42  92.5  93.97  1473500  93.97
2014-01-30  93.74  95.38  92.9  93.04  1909000  93.04
2014-01-29  93.39  94.33  92.92  93.22  1474100  93.22
2014-01-28  93.4  94.93  93.32  94.28  1059100  94.28
2014-01-27  93.53  94.09  92.5  93.21  969100  93.21
2014-01-24  94.4  94.96  93.24  93.36  1034300  93.36
2014-01-23  96.37  96.89  94.84  95.38  996000  95.38
2014-01-22  96.47  96.69  95.76  96.41  741900  96.41
2014-01-21  97.44  97.72  95.73  96.45  837800  96.45
2014-01-17  96.98  96.99  95.64  95.93  1083500  95.93
2014-01-16  97.8  97.82  96.92  97.05  873100  97.05
2014-01-15  96.95  97.86  96.43  97.71  982300  97.71
2014-01-14  96.14  96.92  95.76  96.8  716300  96.8
2014-01-13  96.61  97.12  95.4  95.65  1013800  95.65
2014-01-10  96.3  97.12  95.89  96.68  1351800  96.68
2014-01-09  97.5  97.61  96.33  96.47  1351500  96.47
2014-01-08  95.81  97.48  95.48  97.43  1880500  97.43
2014-01-07  93.42  95.12  93.42  95.1  1852600  95.1
2014-01-06  93.79  94.0  92.93  93.24  1414900  93.24
2014-01-03  92.58  93.89  92.41  92.64  1288200  92.64
2014-01-02  92.63  92.82  91.97  92.24  868800  92.24
2013-12-31  93.5  93.65  92.88  93.19  650000  93.19
2013-12-30  93.24  93.41  92.9  93.2  623200  93.2
2013-12-27  93.33  93.54  92.92  93.24  360300  93.24
2013-12-26  93.14  93.7  93.03  93.43  288800  93.43
2013-12-24  93.0  93.48  92.76  93.1  395800  93.1
2013-12-23  92.92  93.33  92.53  93.23  635700  93.23
2013-12-20  92.6  92.92  92.15  92.54  1341800  92.54
2013-12-19  93.43  93.43  91.27  92.41  1061000  92.41
2013-12-18  90.57  92.7  90.22  92.6  1430600  92.6
2013-12-17  90.56  90.7  89.73  90.44  899400  90.44
2013-12-16  90.55  91.31  90.13  90.21  903900  90.21
2013-12-13  90.27  90.55  89.74  90.32  768700  90.32
2013-12-12  89.64  90.22  89.43  89.81  996700  89.81
2013-12-11  91.86  91.87  89.98  90.15  1021100  90.15
2013-12-10  91.91  92.29  91.53  91.68  1031200  91.68
2013-12-09  91.56  92.49  91.27  92.24  1150400  92.24
2013-12-06  91.3  92.18  91.3  91.82  887900  91.82
2013-12-05  89.94  90.93  89.85  90.26  2092900  90.26
2013-12-04  89.66  90.28  89.39  89.88  1028500  89.88
2013-12-03  90.38  90.71  89.84  90.4  922400  90.4
2013-12-02  91.05  91.36  90.66  90.85  952300  90.85
2013-11-29  90.38  91.39  90.03  91.21  850100  91.21
2013-11-27  90.29  90.76  90.1  90.43  1312100  90.43
2013-11-26  89.54  91.33  89.54  90.41  1840900  90.41
2013-11-25  89.8  90.37  89.41  89.55  1175200  89.55
2013-11-22  89.17  89.41  88.19  89.05  1296200  89.05
2013-11-21  89.49  89.76  88.46  88.98  1580200  88.98
2013-11-20  89.62  89.81  88.9  89.08  594900  89.08
2013-11-19  89.27  90.1  88.7  89.75  663300  89.75
2013-11-18  90.41  90.5  89.09  89.4  663300  89.4
2013-11-15  89.84  90.64  89.84  90.4  1549700  90.4
2013-11-14  89.28  90.56  89.21  90.11  1068800  90.11
2013-11-13  88.88  89.46  88.33  89.45  743000  89.45
2013-11-12  88.59  89.12  88.16  89.06  1102700  89.06
2013-11-11  88.33  89.37  88.22  89.04  1151800  89.04
2013-11-08  87.96  88.48  87.39  88.4  999800  88.4
2013-11-07  89.1  89.5  87.92  88.17  1392500  88.17
2013-11-06  88.81  89.49  88.62  89.21  1255500  89.21
2013-11-05  88.03  88.89  87.9  88.75  1263900  88.75
2013-11-04  87.67  88.85  87.46  88.69  1501300  88.69
2013-11-01  87.68  87.97  87.11  87.7  999500  87.7
2013-10-31  88.19  88.26  87.27  87.28  1088500  87.28
2013-10-30  88.34  88.64  87.92  88.03  1202500  88.03
2013-10-29  87.98  88.47  87.53  88.21  1092200  88.21
2013-10-28  86.14  88.4  85.93  87.94  1752600  87.94
2013-10-25  84.85  86.76  84.85  86.72  1647100  86.72
2013-10-24  81.03  88.04  80.38  85.48  2774800  85.48
2013-10-23  88.49  89.74  88.15  89.71  1192000  89.71
2013-10-22  88.2  89.12  87.62  88.53  1194700  88.53
2013-10-21  88.64  88.78  88.05  88.13  815900  88.13
2013-10-18  87.81  89.3  87.65  88.76  1417500  88.76
2013-10-17  87.06  87.76  87.0  87.69  841400  87.69
2013-10-16  86.51  87.53  86.51  87.53  851300  87.53
2013-10-15  87.32  88.01  86.12  86.2  2221200  86.2
2013-10-14  86.05  87.73  85.85  87.46  1065400  87.46
2013-10-11  85.4  86.5  85.36  86.47  939400  86.47
2013-10-10  85.12  85.78  84.94  85.75  1215800  85.75
2013-10-09  83.65  85.24  83.47  84.51  2192800  84.51
2013-10-08  83.42  84.81  83.17  83.19  1895000  83.19
2013-10-07  82.08  83.5  81.92  83.03  1114700  83.03
2013-10-04  82.4  83.53  82.4  83.21  1213200  83.21
2013-10-03  82.52  83.09  81.94  82.48  1435300  82.48
2013-10-02  81.9  82.86  81.9  82.84  1664400  82.84
2013-10-01  82.11  82.32  81.72  82.23  796000  82.23
2013-09-30  81.44  82.42  81.22  81.96  1075300  81.96
2013-09-27  81.7  82.4  81.34  82.12  824400  82.12
2013-09-26  81.46  82.29  81.32  82.06  992900  82.06
2013-09-25  83.36  83.59  81.5  81.53  1547700  81.53
2013-09-24  83.34  83.97  83.23  83.45  1481200  83.45
2013-09-23  83.12  83.79  82.94  83.54  1118100  83.54
2013-09-20  83.14  83.25  82.64  82.73  1157800  82.73
2013-09-19  83.46  83.46  82.95  83.13  673600  83.13
2013-09-18  82.84  83.42  82.11  83.38  1424400  83.38
2013-09-17  82.42  82.82  82.06  82.77  898700  82.77
2013-09-16  82.3  82.7  81.62  82.45  1360100  82.45
2013-09-13  80.98  81.54  80.74  81.52  1363600  81.52
2013-09-12  80.11  81.17  80.1  80.87  1104300  80.87
2013-09-11  80.48  80.95  80.22  80.47  784800  80.47
2013-09-10  80.59  81.03  80.33  80.48  738500  80.48
2013-09-09  79.51  80.47  79.45  80.34  723200  80.34
2013-09-06  79.95  80.03  78.64  79.52  799600  79.52
2013-09-05  79.09  79.63  78.82  79.24  527100  79.24
2013-09-04  78.37  79.44  78.34  79.08  884000  79.08
2013-09-03  79.67  80.1  77.94  78.55  954800  78.55
2013-08-30  78.55  78.91  78.31  78.73  1139800  78.73
2013-08-29  77.77  79.11  77.64  78.5  744100  78.5
2013-08-28  78.08  78.38  77.69  77.9  611300  77.9
2013-08-27  79.3  79.3  77.91  77.99  1048900  77.99
2013-08-26  80.19  80.79  79.94  80.1  720500  80.1
2013-08-23  80.52  80.83  79.79  80.16  763700  80.16
2013-08-22  79.31  80.55  79.1  80.38  518000  80.38
2013-08-21  79.14  79.76  78.79  79.14  622900  79.14
2013-08-20  79.19  79.85  78.99  79.49  571400  79.49
2013-08-19  79.07  79.8  79.0  79.27  799600  79.27
2013-08-16  79.14  79.48  78.76  79.18  762000  79.18
2013-08-15  80.14  80.19  79.14  79.36  772500  79.36
2013-08-14  81.54  81.74  80.25  80.53  890700  80.53
2013-08-13  81.91  82.03  81.35  81.48  548600  81.48
2013-08-12  81.56  82.2  81.49  81.94  522800  81.94
2013-08-09  82.73  82.91  81.58  82.2  585700  82.2
2013-08-08  82.97  83.14  82.26  82.91  732700  82.91
2013-08-07  82.51  82.63  81.95  82.22  783300  82.22
2013-08-06  83.39  83.5  82.41  82.62  1036600  82.62
2013-08-05  83.19  84.07  83.02  83.56  647900  83.56
2013-08-02  83.51  83.67  83.28  83.62  925100  83.62
2013-08-01  83.52  84.37  83.02  84.09  1039800  84.09
2013-07-31  82.91  83.62  82.69  83.1  1000800  83.1
2013-07-30  83.17  83.5  82.37  82.61  580400  82.61
2013-07-29  83.47  83.62  82.64  83.24  1209600  83.24
2013-07-26  82.23  84.17  82.13  84.1  897100  84.1
2013-07-25  83.61  84.05  82.3  82.53  1480300  82.53
2013-07-24  84.12  84.19  83.36  83.66  873400  83.66
2013-07-23  84.05  84.22  83.21  84.12  1291100  84.12
2013-07-22  83.47  84.41  83.05  84.14  952700  84.14
2013-07-19  81.82  84.7  81.51  84.29  2322700  84.29
2013-07-18  81.25  81.91  81.17  81.84  988600  81.84
2013-07-17  80.19  81.55  80.08  81.31  1272300  81.31
2013-07-16  79.34  80.81  79.2  79.77  1373600  79.77
2013-07-15  78.54  79.23  78.52  79.2  675000  79.2
2013-07-12  77.9  79.02  77.54  78.59  696500  78.59
2013-07-11  77.76  78.02  77.24  77.82  682300  77.82
2013-07-10  76.55  77.42  76.33  76.85  826900  76.85
2013-07-09  77.02  77.12  76.25  76.53  893900  76.53
2013-07-08  76.14  77.19  76.07  76.73  869100  76.73
2013-07-05  75.45  76.0  75.15  75.97  429100  75.97
2013-07-03  75.52  75.59  74.61  75.08  491400  75.08
2013-07-02  74.7  76.22  74.66  75.74  1194400  75.74
2013-07-01  74.83  75.51  74.51  74.66  1223700  74.66
2013-06-28  74.58  75.1  74.23  74.6  1574000  74.6
2013-06-27  75.22  75.33  74.5  74.62  1151300  74.62
2013-06-26  75.15  75.91  74.57  74.6  1151800  74.6
2013-06-25  75.37  75.56  74.31  74.43  1036300  74.43
2013-06-24  75.25  75.41  74.02  74.73  1016000  74.73
2013-06-21  75.54  76.21  75.11  75.83  1025700  75.83
2013-06-20  76.53  76.75  74.68  74.9  1093700  74.9
2013-06-19  79.34  79.34  77.28  77.38  892000  77.38
2013-06-18  79.01  79.97  78.95  79.22  861700  79.22
2013-06-17  77.97  79.9  77.97  79.08  1372500  79.08
2013-06-14  77.79  78.26  77.09  77.3  484500  77.3
2013-06-13  76.4  78.04  75.48  77.88  714300  77.88
2013-06-12  77.49  77.49  76.32  76.46  1029000  76.46
2013-06-11  77.29  77.93  76.48  76.83  1237300  76.83
2013-06-10  78.16  78.42  77.29  77.94  972200  77.94
2013-06-07  78.11  78.52  77.56  78.16  556000  78.16
2013-06-06  76.72  77.74  76.25  77.74  688300  77.74
2013-06-05  76.93  77.62  76.6  76.62  1038300  76.62
2013-06-04  78.09  78.2  76.28  77.04  1497400  77.04
2013-06-03  78.2  78.56  77.53  78.26  1769700  78.26
2013-05-31  79.02  79.52  77.95  77.95  1079700  77.95
2013-05-30  78.68  79.8  78.44  79.37  599300  79.37
2013-05-29  79.59  79.59  77.87  78.44  1283600  78.44
2013-05-28  79.89  80.69  79.69  80.2  665500  80.2
2013-05-24  78.85  79.6  78.38  79.3  579500  79.3
2013-05-23  78.78  79.43  78.69  79.38  804900  79.38
2013-05-22  80.44  81.34  78.84  79.29  1011700  79.29
2013-05-21  80.47  81.13  80.18  80.43  967100  80.43
2013-05-20  79.58  80.6  79.4  80.23  968500  80.23
2013-05-17  79.6  79.94  79.07  79.76  1426600  79.76
2013-05-16  79.71  80.77  79.67  80.04  1001200  80.04
2013-05-15  79.91  80.79  79.82  80.41  1143500  80.41
